"2016 Form EIA-860 Data - Schedule 3, 'Solar Technology Data' (Operable Units Only)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Status,Technology,Prime Mover,Sector Name,Sector,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Operating Month,Operating Year,Lenses / Mirrors?,Single-Axis Tracking?,Dual-Axis Tracking?,Fixed Tilt?,East West Fixed Tilt?,Parabolic Trough?,Linear Fresnel?,Power Tower?,Dish Engine?,Other Solar Technology?,Tilt Angle,DC Net Capacity (MW),Crystalline Silicon?,Thin-Film (CdTe)?,Thin-Film (A-Si)?,Thin-Film (CIGS)?,Thin-Film (Other)?,Other Materials?,Net Metering Agreement?,Net Metering DC Capacity (MW),Virtual Net Metering Agreement?,Virtual Net Metering DC Capacity (MW)
56203,Solar Star NAFB LLC,56568,Nellis Air Force Base Solar Array,NV,Clark,NS1,OP,Solar Photovoltaic,PV,Commercial Non-CHP,4,4.9,4.9,4.9,10,2007,,Y,,,,,,,,,0.0,5.0,Y,,,,,,N, ,N, 
56203,Solar Star NAFB LLC,56568,Nellis Air Force Base Solar Array,NV,Clark,NS2,OP,Solar Photovoltaic,PV,Commercial Non-CHP,4,5.2,5.2,5.2,11,2007,,Y,,,,,,,,,0.0,5.0,Y,,,,,,N, ,N, 
56203,Solar Star NAFB LLC,56568,Nellis Air Force Base Solar Array,NV,Clark,NS3,OP,Solar Photovoltaic,PV,Commercial Non-CHP,4,3.9,3.9,3.9,12,2007,,Y,,,,,,,,,0.0,4.0,Y,,,,,,N, ,N, 
55910,Lanai Sustainability Research LLC,56667,Lanai Solar-Electric Plant,HI,Maui,0001,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,0.1,0.1,0.1,12,2008,,N,,,N,,,,,Y, ,0.1,Y,,,,,,N, ,N, 
55910,Lanai Sustainability Research LLC,56667,Lanai Solar-Electric Plant,HI,Maui,0002,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,0.1,0.1,0.1,12,2008,,N,,,N,,,,,Y, ,0.1,Y,,,,,,N, ,N, 
55910,Lanai Sustainability Research LLC,56667,Lanai Solar-Electric Plant,HI,Maui,0003,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,0.1,0.1,0.1,12,2008,,N,,,N,,,,,Y, ,0.1,Y,,,,,,N, ,N, 
55910,Lanai Sustainability Research LLC,56667,Lanai Solar-Electric Plant,HI,Maui,0004,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,0.1,0.1,0.1,12,2008,,N,,,N,,,,,Y, ,0.1,Y,,,,,,N, ,N, 
55910,Lanai Sustainability Research LLC,56667,Lanai Solar-Electric Plant,HI,Maui,0005,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,0.1,0.1,0.1,12,2008,,N,,,N,,,,,Y, ,0.1,Y,,,,,,N, ,N, 
55910,Lanai Sustainability Research LLC,56667,Lanai Solar-Electric Plant,HI,Maui,0006,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,0.1,0.1,0.1,12,2008,,N,,,N,,,,,Y, ,0.1,Y,,,,,,N, ,N, 
55910,Lanai Sustainability Research LLC,56667,Lanai Solar-Electric Plant,HI,Maui,0007,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,0.1,0.1,0.1,12,2008,,N,,,N,,,,,Y, ,0.1,Y,,,,,,N, ,N, 
