branchid,trans_viol,branch_rating,percentage
210218.0,0.0,86.0,0.0
210219.0,0.0,1793.0,0.0
210220.0,0.0,86.0,0.0
210221.0,2.05136693985337e-17,86.0,2.3853103951783375e-19
210222.0,2.076046562537389e-17,86.0,2.414007630857429e-19
210223.0,2.058645857609182e-17,700.0,2.940922653727403e-20
305352.0,2.2098617058841594e-17,86.0,2.5696066347490225e-19
305252.0,0.0,86.0,0.0
307626.0,0.0,86.0,0.0
310544.0,2.2097505443805454e-17,86.0,2.5694773771866806e-19
300284.0,2.2097505565492654e-17,86.0,2.569477391336355e-19
301073.0,2.200007701720011e-17,86.0,2.558148490372106e-19
307027.0,2.068822270416048e-17,700.0,2.9554603863086403e-20
308547.0,2.0686136388884357e-17,700.0,2.955162341269194e-20
310596.0,2.035778147415939e-17,1793.0,1.1354033170194864e-20
304820.0,2.0680846607720443e-17,700.0,2.9544066582457774e-20
309990.0,2.0691047477733608e-17,700.0,2.9558639253905153e-20
307897.0,2.2061233866378117e-17,86.0,2.5652597519044323e-19
313129.0,0.0,86.0,0.0
300564.0,0.0,86.0,0.0
302546.0,0.0,86.0,0.0
302517.0,0.0,86.0,0.0
302631.0,2.175961242859289e-17,700.0,3.108516061227556e-20
303240.0,0.0,700.0,0.0
306454.0,0.0,700.0,0.0
308834.0,0.0,700.0,0.0
309874.0,2.1774985081749286e-17,700.0,3.1107121545356124e-20
307824.0,0.0,86.0,0.0
311737.0,0.0,86.0,0.0
301758.0,0.0,700.0,0.0
307606.0,2.0685161885387753e-17,700.0,2.955023126483965e-20
307970.0,0.0,86.0,0.0
305493.0,0.0,86.0,0.0
305253.0,0.0,86.0,0.0
301738.0,0.0,86.0,0.0
308689.0,0.0,86.0,0.0
307425.0,0.0,86.0,0.0
305158.0,0.0,700.0,0.0
305453.0,0.0,86.0,0.0
309970.0,2.1839673923308838e-17,382.0,5.717192126520639e-20
311557.0,2.0681148395401748e-17,700.0,2.9544497707716785e-20
302598.0,0.0,86.0,0.0
302503.0,0.0,700.0,0.0
301298.0,0.0,700.0,0.0
301609.0,2.1855350607407956e-17,382.0,5.721295970525643e-20
301711.0,0.0,86.0,0.0
301842.0,0.0,700.0,0.0
302315.0,0.0,700.0,0.0
302035.0,2.184661972195687e-17,382.0,5.719010398418029e-20
302134.0,2.0703670428835648e-17,700.0,2.957667204119378e-20
302207.0,27.452032493964698,86.0,0.3192096801623802
302337.0,0.0,86.0,0.0
302530.0,2.1083594187625966e-17,86.0,2.4515807194913916e-19
303194.0,2.0684821699222157e-17,700.0,2.954974528460308e-20
303494.0,2.0681942229937585e-17,700.0,2.954563175705369e-20
303515.0,2.2039235351542756e-17,382.0,5.769433338100198e-20
303957.0,2.0767493043139705e-17,86.0,2.4148247724581053e-19
304453.0,2.160422584269251e-17,797.0,2.710693330325284e-20
305242.0,0.0,700.0,0.0
305341.0,2.0738108277209215e-17,86.0,2.411407939210374e-19
305356.0,0.0,382.0,0.0
305472.0,2.0692922672441756e-17,700.0,2.956131810348822e-20
305997.0,2.1883121320137105e-17,382.0,5.728565790611807e-20
305965.0,2.0686136328541703e-17,700.0,2.9551623326488147e-20
306064.0,2.0681210186973213e-17,700.0,2.95445859813903e-20
306200.0,2.0687743191958513e-17,700.0,2.9553918845655016e-20
306251.0,2.205613085754639e-17,86.0,2.564666378784464e-19
306592.0,2.0680302693023157e-17,700.0,2.954328956146165e-20
306902.0,2.176041451532998e-17,700.0,3.10863064504714e-20
307047.0,2.175862435412532e-17,700.0,3.108374907732189e-20
307055.0,0.0,700.0,0.0
307279.0,2.068079521705329e-17,700.0,2.954399316721899e-20
308013.0,0.0,1793.0,0.0
308830.0,0.0,86.0,0.0
308901.0,0.0,1793.0,0.0
308949.0,2.1142927039266552e-17,797.0,2.6528139321538962e-20
308967.0,2.1840334214054252e-17,382.0,5.717364977501113e-20
309682.0,2.1849262431482762e-17,382.0,5.71970220719444e-20
310215.0,2.075698808964776e-17,700.0,2.9652840128068226e-20
310602.0,2.1835229790535736e-17,382.0,5.716028740977941e-20
310987.0,0.0,700.0,0.0
310991.0,2.1510824281507127e-17,700.0,3.072974897358161e-20
311246.0,2.175862538466136e-17,700.0,3.1083750549516224e-20
311777.0,0.0,382.0,0.0
311911.0,2.1746889221641318e-17,86.0,2.52870804902806e-19
311984.0,3.660434226092535e-17,86.0,4.2563188675494593e-19
312094.0,2.185408070765626e-17,382.0,5.72096353603567e-20
312097.0,0.0,86.0,0.0
312208.0,2.2050823656428668e-17,382.0,5.772466925766666e-20
312250.0,2.035470036668688e-17,1793.0,1.1352314761119286e-20
300007.0,2.2104252923021468e-17,239.0,9.248641390385552e-20
300051.0,2.1759659796912716e-17,700.0,3.108522828130388e-20
300052.0,0.0,239.0,0.0
300091.0,0.0,700.0,0.0
300097.0,2.073513297226438e-17,700.0,2.9621618531806256e-20
300107.0,2.0683004658146522e-17,700.0,2.954714951163789e-20
300113.0,0.0,700.0,0.0
300138.0,2.200115034250041e-17,382.0,5.759463440445133e-20
300158.0,0.0,382.0,0.0
300175.0,2.203623695777986e-17,382.0,5.768648418266979e-20
300198.0,0.0,239.0,0.0
300224.0,2.2039525929611245e-17,86.0,2.56273557321061e-19
300202.0,2.068032740914221e-17,700.0,2.9543324870203155e-20
300270.0,2.0723700373786937e-17,700.0,2.960528624826705e-20
300278.0,0.0,86.0,0.0
300316.0,2.1131773212762e-17,86.0,2.457182931716512e-19
300331.0,2.1509483904825025e-17,700.0,3.0727834149750037e-20
300344.0,0.0,700.0,0.0
300368.0,2.0699050695005388e-17,700.0,2.957007242143627e-20
300396.0,2.100692635137166e-17,700.0,3.00098947876738e-20
300429.0,2.1531218666538625e-17,700.0,3.0758883809340895e-20
300461.0,2.1526007424175105e-17,700.0,3.0751439177393006e-20
300491.0,2.179491730452272e-17,700.0,3.1135596149318177e-20
300557.0,2.1047829600381922e-17,797.0,2.6408820075761508e-20
300573.0,2.2011601051828462e-17,86.0,2.5594884943986584e-19
300571.0,2.1509926711715168e-17,700.0,3.072846673102167e-20
300612.0,0.0,86.0,0.0
300646.0,2.1569617454912756e-17,700.0,3.081373922130394e-20
300698.0,2.2084157232034822e-17,86.0,2.567925259538933e-19
300898.0,0.0,86.0,0.0
300869.0,0.0,239.0,0.0
300878.0,0.0,86.0,0.0
300930.0,2.1781379974748548e-17,700.0,3.111625710678364e-20
300996.0,2.1842499608204874e-17,382.0,5.717931834608605e-20
300967.0,0.0,239.0,0.0
300969.0,2.154048156232399e-17,700.0,3.07721165176057e-20
312470.0,0.0,1793.0,0.0
301038.0,2.068170566671373e-17,700.0,2.9545293809591043e-20
301041.0,2.0453701657292442e-17,86.0,2.378337402010749e-19
301060.0,2.068101179104147e-17,700.0,2.954430255863067e-20
301070.0,0.0,1793.0,0.0
301085.0,2.0694750107248957e-17,700.0,2.956392872464137e-20
301100.0,0.0,86.0,0.0
301101.0,0.0,700.0,0.0
301116.0,2.070392616669799e-17,700.0,2.957703738099713e-20
301127.0,2.1528385698297507e-17,700.0,3.075483671185358e-20
301151.0,0.0,86.0,0.0
301191.0,2.0583971531316048e-17,797.0,2.5826814970283625e-20
301207.0,0.0,700.0,0.0
301225.0,0.0,382.0,0.0
301227.0,2.1597561926088975e-17,700.0,3.085365989441282e-20
301246.0,2.175863208962727e-17,700.0,3.108376012803896e-20
301325.0,2.0586700427909976e-17,86.0,2.393802375338369e-19
301340.0,2.0681559948789055e-17,700.0,2.954508564112722e-20
301346.0,0.0,1793.0,0.0
301349.0,0.0,86.0,0.0
301383.0,0.0,700.0,0.0
301388.0,2.2100591694115078e-17,86.0,2.569836243501753e-19
301408.0,2.1557454608292724e-17,86.0,2.5066807684061307e-19
301413.0,0.0,700.0,0.0
301415.0,2.1555861651976233e-17,700.0,3.079408807425176e-20
301435.0,0.0,700.0,0.0
301482.0,0.0,700.0,0.0
301528.0,0.0,700.0,0.0
301530.0,0.0,382.0,0.0
301533.0,2.154048156044697e-17,700.0,3.0772116514924245e-20
301535.0,2.1982129568206353e-17,382.0,5.754484180158731e-20
301540.0,0.0,86.0,0.0
301549.0,2.185071736827373e-17,382.0,5.72008308069993e-20
301553.0,2.15288071222886e-17,700.0,3.075543874612657e-20
301597.0,2.1762688210687274e-17,700.0,3.1089554586696103e-20
301658.0,2.0681303508517133e-17,700.0,2.954471929788162e-20
301729.0,2.0710319965432564e-17,700.0,2.958617137918938e-20
301759.0,0.0,382.0,0.0
301799.0,2.1517971491326154e-17,700.0,3.073995927332308e-20
301801.0,2.0684947977791558e-17,700.0,2.954992568255937e-20
