plant_id,type,n,c2,c1,c0
MOUNTAINVIEW GENERATING STATION-NG-CA,ng,1,0.003954978977895127,4.100687699687952,440.11746833894586
SANTA ANA 1-WAT-HY,hydro,1,,6071.0,
SANTA ANA 3-WAT-HY,hydro,1,,6071.0,
LOWER TULE RIVER-WAT-HY,hydro,1,,6107.0,
COLUMBIA GENERATING STATION-NUC-ST,nuclear,1,,53005.0,
PARDEE-WAT-HY,hydro,1,,6009.0,
GRAYSON-NG-CA,ng,1,4.6006157158368436e-20,9.328556914581972,57.00935725347736
GRAYSON-LFG-ST,ng,1,4.6006157158368436e-20,9.328556914581972,57.00935725347736
GRAYSON-NG-ST,ng,1,4.6006157158368436e-20,9.328556914581972,57.00935725347736
GRAYSON-NG-CT,ng,1,4.6006157158368436e-20,9.328556914581972,57.00935725347736
GRAYSON-NG-GT,ng,1,4.6006157158368436e-20,9.328556914581972,57.00935725347736
PRAIRIE RIVER-WAT-HY,hydro,1,,27061.0,
DION R HOLM-WAT-HY,hydro,1,,6109.0,
MOCCASIN-WAT-HY,hydro,1,,6109.0,
R C KIRKWOOD-WAT-HY,hydro,1,,6109.0,
JOLIET 29-NG-ST,ng,1,1.4929645551063216e-18,8.875827497337607,207.5070432633129
DROP 2 (CA)-WAT-HY,hydro,1,,6025.0,
DROP 3 (CA)-WAT-HY,hydro,1,,6025.0,
DROP 4-WAT-HY,hydro,1,,6025.0,
PILOT KNOB-WAT-HY,hydro,1,,6025.0,
EL CENTRO-NG-CA,ng,1,0.09655794509649876,-1.8231607332818651,232.57819875029202
EL CENTRO-NG-CT,ng,1,0.09655794509649876,-1.8231607332818651,232.57819875029202
EL CENTRO-NG-ST,ng,1,0.01481199429806397,8.609264113522201,43.94954386621731
SOLOMON GULCH-WAT-HY,hydro,1,,0.0,
BIG PINE CREEK-WAT-HY,hydro,1,,6027.0,
CASTAIC-WAT-HY,hydro,1,,6037.0,
CONTROL GORGE-WAT-HY,hydro,1,,6027.0,
COTTONWOOD-WAT-HY,hydro,1,0.011223573517417764,2.267319804714372,506.27685427065404
FOOTHILL-WAT-HY,hydro,1,,6037.0,
FRANKLIN (CA)-WAT-HY,hydro,1,,6037.0,
HAIWEE-WAT-HY,hydro,1,,6027.0,
HARBOR-NG-CT,ng,1,6.580037242516386e-22,6.674878206543371,239.25967388321652
HARBOR-NG-CA,ng,1,6.580037242516386e-22,6.674878206543371,239.25967388321652
HARBOR-NG-GT,ng,1,6.580037242516386e-22,6.674878206543371,239.25967388321652
HAYNES-NG-ST,ng,1,0.005240272725595938,3.8054943938798695,460.86163330753527
HAYNES-NG-CT,ng,1,0.005240272725595938,3.8054943938798695,460.86163330753527
HAYNES-NG-GT,ng,1,0.005240272725595938,3.8054943938798695,460.86163330753527
HAYNES-NG-CA,ng,1,0.005240272725595938,3.8054943938798695,460.86163330753527
MIDDLE GORGE-WAT-HY,hydro,1,,6051.0,
PLEASANT VALLEY HYDRO-WAT-HY,hydro,1,,6027.0,
SAN FERNANDO-WAT-HY,hydro,1,,6037.0,
SCATTERGOOD-NG-ST,ng,1,2.9257542187510157e-19,9.444674966484794,163.6162977545836
SCATTERGOOD-NG-CT,ng,1,2.9257542187510157e-19,9.444674966484794,163.6162977545836
SCATTERGOOD-NG-CA,ng,1,2.9257542187510157e-19,9.444674966484794,163.6162977545836
SCATTERGOOD-NG-GT,ng,1,2.9257542187510157e-19,9.444674966484794,163.6162977545836
