branch_id,from_bus_id,to_bus_id,r,x,b,rateA,rateB,rateC,ratio,angle,status,angmin,angmax,Pf,Qf,Qt,mu_Sf,mu_St,mu_angmin,mu_angmin,branch_device_type,interconnect
210374,208646,204502,0.0,0.002240837211413784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Phase Shifter,Western
210380,207395,208652,0.0,0.001982385283988843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Phase Shifter,Western
210454,208718,208719,0.0,0.0017040276867644124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Phase Shifter,Western
210725,208896,208897,0.0,0.0003686510318729813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Phase Shifter,Western
210809,201852,208916,0.0,0.001753691052360678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Phase Shifter,Western
210845,208942,208943,0.0,0.0021210161538743116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Phase Shifter,Western
210874,208966,208965,0.0,0.0004919714139299229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Phase Shifter,Western
210887,208977,208978,0.0,0.0012381712426158733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Phase Shifter,Western
210890,208980,208981,0.0,0.0017298124242208911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Phase Shifter,Western
210905,208994,208993,0.0,0.0005961483396106283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Phase Shifter,Western
211002,209033,200802,0.0,0.0010193230088731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Phase Shifter,Western
211074,209062,209063,0.0,0.0012399933270302176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Phase Shifter,Western
211099,205756,202743,0.0,0.0009447762165333414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Phase Shifter,Western
211628,209428,209427,0.0,0.0017007905964431427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Phase Shifter,Western
211632,209432,209431,0.0,0.0020937730660290136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Phase Shifter,Western
211641,209438,209439,0.0,0.0022318411291734597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Phase Shifter,Western
211829,209573,209572,0.0,0.002265227790730074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Phase Shifter,Western
211852,209585,209584,0.0,0.0014894965864509543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Phase Shifter,Western
211966,209677,205942,0.0,0.0021300431623582847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Phase Shifter,Western
211977,209688,209687,0.0,0.0018378344374129316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Phase Shifter,Western
211986,209695,209666,0.0,0.0018378621250380747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Phase Shifter,Western
209078,207747,207748,0.0,0.0019457802327097968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Phase Shifter,Western
209542,208042,208043,0.0,0.0008528066646148092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Phase Shifter,Western
304373,302467,310723,0.0,0.0010893966985456337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Phase Shifter,Western
307622,302521,310835,0.0,0.0018076039080849643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Phase Shifter,Western
302273,308037,304892,0.0,0.0022010635515855776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Phase Shifter,Western
303040,301716,301716,0.0,0.0022364091042904395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Phase Shifter,Western
304876,306332,306332,0.0,0.0010475842583142565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Phase Shifter,Western
306188,303368,303368,0.0,0.0020195449402533217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Phase Shifter,Texas
308178,302757,310724,0.0,0.0017017358158500785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Phase Shifter,Western
309240,308813,308813,0.0,0.0022056524474107007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Phase Shifter,Western
309275,307022,307022,0.0,0.0009408963630565399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Phase Shifter,Western
311247,309468,309468,0.0,0.0018451048056444133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Phase Shifter,Western
312343,302698,308239,0.0,0.000740999019883019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Phase Shifter,Eastern
141441,140849,140848,0.0,0.0010909846406809475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Phase Shifter,Eastern
141636,148766,148765,0.0,0.0005002319047509558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Phase Shifter,Eastern
141677,138359,127563,0.0,0.0021970827238556715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Phase Shifter,Eastern
164346,160573,160574,0.0,0.0015295776682282096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Phase Shifter,Eastern
142201,138622,133252,0.0,0.0017797347500637852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Phase Shifter,Eastern
142206,147682,147683,0.0,0.0006417843942528742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Phase Shifter,Eastern
142276,148941,119689,0.0,0.0003855203510089231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Phase Shifter,Eastern
142306,149919,155266,0.0,0.00037963726332740973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Phase Shifter,Eastern
142513,148382,148383,0.0,0.0005663407615178491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Phase Shifter,Eastern
142555,153713,153714,0.0,0.00199739437181635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Phase Shifter,Eastern
143001,149031,149032,0.0,0.0005449870358166638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Phase Shifter,Eastern
142793,143239,109108,0.0,0.0005724375907782716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Phase Shifter,Eastern
142824,155220,155219,0.0,0.001500055151680537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Phase Shifter,Eastern
159144,158829,158830,0.0,0.0018337193769591444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Phase Shifter,Eastern
143119,145801,110194,0.0,0.00043540904498845875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Phase Shifter,Eastern
143497,141918,109248,0.0,0.000789356125795206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Phase Shifter,Eastern
162405,147070,161774,0.0,0.00044365648570715967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Phase Shifter,Eastern
143522,113732,137246,0.0,0.0005667810243849897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Phase Shifter,Eastern
