bus_id,Pd,zone_id,baseKV,interconnect
108479,0,8,230.0,Eastern
108480,0,8,138.0,Eastern
108481,0,8,230.0,Eastern
108482,0,8,115.0,Eastern
108483,0,8,115.0,Eastern
108485,0,8,230.0,Eastern
108486,0,8,230.0,Eastern
108494,0,8,115.0,Eastern
108495,0,8,115.0,Eastern
108496,0,8,115.0,Eastern
108498,0,8,69.0,Eastern
108499,0,8,69.0,Eastern
108500,0,8,69.0,Eastern
108501,0,8,138.0,Eastern
108506,0,8,138.0,Eastern
108510,0,8,230.0,Eastern
108512,0,8,230.0,Eastern
108513,0,8,230.0,Eastern
108514,0,8,69.0,Eastern
108515,0,8,138.0,Eastern
108524,0,8,230.0,Eastern
108525,0,8,138.0,Eastern
108530,0,8,69.0,Eastern
108531,0,8,69.0,Eastern
108532,0,8,69.0,Eastern
108535,0,8,69.0,Eastern
108536,0,8,69.0,Eastern
108537,0,8,230.0,Eastern
108538,0,8,230.0,Eastern
108539,0,8,138.0,Eastern
108545,0,8,230.0,Eastern
108547,0,8,69.0,Eastern
108557,0,8,230.0,Eastern
108558,0,8,138.0,Eastern
108560,0,8,138.0,Eastern
108564,0,8,69.0,Eastern
108565,0,8,69.0,Eastern
108567,0,8,69.0,Eastern
108568,0,8,69.0,Eastern
108570,0,8,230.0,Eastern
108577,0,8,138.0,Eastern
108585,0,8,138.0,Eastern
108586,0,8,138.0,Eastern
108591,0,8,138.0,Eastern
108592,0,8,138.0,Eastern
108595,0,8,230.0,Eastern
108596,0,8,230.0,Eastern
108608,0,8,138.0,Eastern
108616,0,8,115.0,Eastern
108618,0,8,184.0,Eastern
108622,0,8,69.0,Eastern
108623,0,8,230.0,Eastern
108631,0,8,230.0,Eastern
108633,0,8,230.0,Eastern
108634,0,8,230.0,Eastern
108635,0,8,230.0,Eastern
108637,0,8,230.0,Eastern
108639,0,8,230.0,Eastern
108640,0,8,115.0,Eastern
108642,0,8,230.0,Eastern
108643,0,8,230.0,Eastern
108644,0,8,230.0,Eastern
108646,0,8,138.0,Eastern
108652,0,8,207.0,Eastern
108653,0,8,69.0,Eastern
108657,0,8,230.0,Eastern
108660,0,8,230.0,Eastern
108661,0,8,230.0,Eastern
108664,0,8,138.0,Eastern
108665,0,8,69.0,Eastern
108666,0,8,230.0,Eastern
108667,0,8,500.0,Eastern
108670,0,8,69.0,Eastern
108671,0,8,69.0,Eastern
108675,0,8,138.0,Eastern
108678,0,8,230.0,Eastern
108681,0,8,230.0,Eastern
108682,0,8,115.0,Eastern
108683,0,8,115.0,Eastern
108684,0,8,69.0,Eastern
108686,0,8,115.0,Eastern
108687,0,8,115.0,Eastern
108694,0,8,115.0,Eastern
108700,0,8,230.0,Eastern
108701,0,8,230.0,Eastern
108702,0,8,115.0,Eastern
108704,0,8,230.0,Eastern
108705,0,8,115.0,Eastern
108710,0,8,92.0,Eastern
108711,0,8,69.0,Eastern
108713,0,8,115.0,Eastern
108714,0,8,230.0,Eastern
108715,0,8,115.0,Eastern
108716,0,8,230.0,Eastern
108720,0,8,115.0,Eastern
108722,0,8,172.5,Eastern
108727,0,8,115.0,Eastern
108728,0,8,115.0,Eastern
108729,0,8,115.0,Eastern
108732,0,8,172.5,Eastern
108733,0,8,69.0,Eastern
108735,0,8,230.0,Eastern
108739,0,52,138.0,Eastern
108740,0,52,138.0,Eastern
108742,0,52,138.0,Eastern
108743,0,52,138.0,Eastern
108744,0,52,138.0,Eastern
108745,0,52,138.0,Eastern
108747,0,52,138.0,Eastern
108750,0,52,138.0,Eastern
108751,0,52,138.0,Eastern
108752,0,52,138.0,Eastern
108753,0,52,138.0,Eastern
108754,0,52,138.0,Eastern
108755,0,52,138.0,Eastern
108756,0,52,138.0,Eastern
108757,0,52,138.0,Eastern
108758,0,52,138.0,Eastern
108759,0,52,138.0,Eastern
108760,0,52,138.0,Eastern
108761,0,52,138.0,Eastern
108762,0,52,138.0,Eastern
108763,0,52,138.0,Eastern
108764,0,52,138.0,Eastern
108765,0,52,138.0,Eastern
108766,0,52,138.0,Eastern
108767,0,52,138.0,Eastern
108768,0,52,138.0,Eastern
108769,0,52,138.0,Eastern
108771,0,52,345.0,Eastern
108772,0,35,138.0,Eastern
108776,0,52,138.0,Eastern
108779,0,52,138.0,Eastern
108780,0,52,138.0,Eastern
108781,0,52,138.0,Eastern
108782,0,52,103.5,Eastern
108783,0,52,138.0,Eastern
108784,0,52,103.5,Eastern
108785,0,52,138.0,Eastern
108786,0,52,138.0,Eastern
108787,0,52,138.0,Eastern
108788,0,52,138.0,Eastern
108790,0,52,138.0,Eastern
