plant_id,bus_id,Pg,Qg,Qmax,Qmin,Vg,mBase,status,Pmax,Pmin,Pc1,Pc2,Qc1min,Qc1max,Qc2min,Qc2max,ramp_agc,ramp_10,ramp_30,ramp_q,apf,mu_Pmax,mu_Pmin,mu_Qmax,mu_Qmin,type,interconnect,GenFuelCost,GenIOB,GenIOC,GenIOD,distance,lat,lon,zip,state
10367,300089,21.0,0.0,0.0,0.0,0.0,0.0,1,49.8,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,ng,Western,0.0,0.0,0.0,0.0,79.76413345153307,35.377078148,-119.077291496,93308,CA
10369,173335,0.0,0.0,0.0,0.0,0.0,0.0,1,39.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ng,Eastern,0.0,0.0,0.0,0.0,2218.9464140122086,41.763848394,-72.69223863,06106,CT
10370,173335,0.0,0.0,0.0,0.0,0.0,0.0,1,30.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ng,Eastern,0.0,0.0,0.0,0.0,2218.9464140122086,41.763848394,-72.69223863,06106,CT
10371,111658,5.0,0.0,0.0,0.0,0.0,0.0,1,54.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,other,Eastern,0.0,0.0,0.0,0.0,306.68747897985986,35.375911476,-76.782420999,27806,NC
10372,130013,0.5,0.0,0.0,0.0,0.0,0.0,1,32.6,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,hydro,Eastern,0.0,0.0,0.0,0.0,49.26414928697957,44.000651033,-75.961283593,13601,NY
10375,140330,0.3,0.0,0.0,0.0,0.0,0.0,1,1.8,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,hydro,Eastern,0.0,0.0,0.0,0.0,93928.0910619665,43.8984,-75.05073,13350,NY
10376,127727,2.5,0.0,0.0,0.0,0.0,0.0,1,5.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,hydro,Eastern,0.0,0.0,0.0,0.0,7082.330359763466,43.160786782,-73.584108522,12871,NY
10378,304450,6.0,0.0,0.0,0.0,0.0,0.0,1,60.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,other,Western,0.0,0.0,0.0,0.0,1576.6014596802488,33.791667,-118.234722,90748,CA
10381,308246,0.0,0.0,0.0,0.0,0.0,0.0,1,18.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wind,Western,0.0,0.0,0.0,0.0,3448.7633790636464,35.0686,-118.3833,93561,CA
10383,307141,0.0,0.0,0.0,0.0,0.0,0.0,1,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wind,Western,0.0,0.0,0.0,0.0,258.46484777500643,33.936394365,-116.618329743,92282,CA
