bus_id,Pd,zone_id,baseKV,interconnect
108078,0.0,2,115.0,Eastern
108079,0.0,2,161.0,Eastern
108081,0.0,2,69.0,Eastern
108083,0.0,2,115.0,Eastern
108084,0.0,2,115.0,Eastern
108085,0.0,2,92.0,Eastern
108086,0.0,2,69.0,Eastern
108087,0.0,2,69.0,Eastern
108089,0.0,2,161.0,Eastern
108090,0.0,2,119.6,Eastern
108093,0.0,2,157.4419191919192,Eastern
108094,0.0,2,115.0,Eastern
108095,0.0,2,115.0,Eastern
108096,0.0,2,115.0,Eastern
108097,0.0,2,69.0,Eastern
108099,0.0,2,115.0,Eastern
108100,0.0,2,122.1875,Eastern
108101,0.0,2,122.1875,Eastern
108102,0.0,2,129.375,Eastern
108103,0.0,2,115.0,Eastern
108104,0.0,2,69.0,Eastern
108105,0.0,2,69.0,Eastern
108106,0.0,2,69.0,Eastern
108107,0.0,2,103.5,Eastern
108110,0.0,2,161.0,Eastern
108112,0.0,2,69.0,Eastern
108114,0.0,2,115.0,Eastern
108115,0.0,2,115.0,Eastern
108116,0.0,2,115.0,Eastern
108117,0.0,2,115.0,Eastern
108118,0.0,2,115.0,Eastern
108119,0.0,2,115.0,Eastern
108120,0.0,2,115.0,Eastern
108121,0.0,2,115.0,Eastern
108123,0.0,2,115.0,Eastern
108124,0.0,2,115.0,Eastern
108125,0.0,2,115.0,Eastern
108126,0.0,2,69.0,Eastern
108127,0.0,2,69.0,Eastern
108128,0.0,2,69.0,Eastern
108129,0.0,2,69.0,Eastern
108130,0.0,2,69.0,Eastern
108131,0.0,2,161.0,Eastern
108132,0.0,2,69.0,Eastern
108133,0.0,2,69.0,Eastern
108134,0.0,2,69.0,Eastern
108135,0.0,2,69.0,Eastern
108136,0.0,2,161.0,Eastern
108138,0.0,2,161.0,Eastern
108139,0.0,2,161.0,Eastern
108140,0.0,2,253.98,Eastern
108142,0.0,2,161.0,Eastern
108143,0.0,8,145.815,Eastern
108144,15.966,8,115.0,Eastern
108146,5.432,8,115.0,Eastern
108147,5.432,8,115.0,Eastern
108149,15.966,8,115.0,Eastern
108150,0.0,8,134.25,Eastern
108151,21.004,8,115.0,Eastern
108152,21.004,8,115.0,Eastern
108153,5.432,8,69.0,Eastern
108154,5.432,8,69.0,Eastern
108155,12.134,8,115.0,Eastern
108156,4.061,8,69.0,Eastern
108157,16.756,8,69.0,Eastern
108158,16.756,8,69.0,Eastern
108159,16.756,8,69.0,Eastern
108160,16.756,8,69.0,Eastern
108161,5.432,8,69.0,Eastern
108162,5.218,8,138.09620098039215,Eastern
