plant_id,type,startup,shutdown,n,c2,c1,c0,interconnect
19255,2,0,0,3,0.0,6031.0,0.0,Western
19256,2,0,0,3,0.0,4021.0,0.0,Western
19257,2,0,0,3,0.0,17039.0,0.0,Eastern
19259,2,0,0,3,0.0,25027.0,0.0,Eastern
19260,2,0,0,3,0.0,19003.0,0.0,Eastern
19264,2,0,0,3,0.0,6029.0,0.0,Western
19266,2,0,0,3,0.0,37131.0,0.0,Eastern
19267,2,0,0,3,0.0,37131.0,0.0,Eastern
19268,2,0,0,3,0.0,37131.0,0.0,Eastern
19269,2,0,0,3,0.0,37191.0,0.0,Eastern
19270,2,0,0,3,0.0,37061.0,0.0,Eastern
19271,2,0,0,3,0.0,40119.0,0.0,Eastern
19274,2,0,0,3,0.0,37065.0,0.0,Eastern
19275,2,0,0,3,0.0,48029.0,0.0,Texas
19279,2,0,0,3,0.0,13059.0,0.0,Eastern
19280,2,0,0,3,0.0,6037.0,0.0,Western
19281,2,0,0,3,0.0,6037.0,0.0,Western
19282,2,0,0,3,0.0,35051.0,0.0,Western
19283,2,0,0,3,0.0,48247.0,0.0,Texas
19284,2,0,0,3,0.0,46021.0,0.0,Eastern
19285,2,0,0,3,0.0,8101.0,0.0,Western
19286,2,0,0,3,0.0,6025.0,0.0,Western
19287,2,0,0,3,0.0,0.0,0.0,Western
19288,2,0,0,3,0.0,49053.0,0.0,Western
19292,2,0,0,3,0.0,37077.0,0.0,Eastern
19295,2,0,0,3,0.0,37007.0,0.0,Eastern
19296,2,0,0,3,0.0,37155.0,0.0,Eastern
19297,2,0,0,3,0.0,37155.0,0.0,Eastern
19298,2,0,0,3,0.0,37107.0,0.0,Eastern
19299,2,0,0,3,0.0,37045.0,0.0,Eastern
19300,2,0,0,3,0.0,37051.0,0.0,Eastern
19301,2,0,0,3,0.0,37155.0,0.0,Eastern
19302,2,0,0,3,0.0,37155.0,0.0,Eastern
19303,2,0,0,3,0.0,37163.0,0.0,Eastern
19304,2,0,0,3,0.0,37141.0,0.0,Eastern
19305,2,0,0,3,0.0,50021.0,0.0,Eastern
19306,2,0,0,3,0.0,39155.0,0.0,Eastern
19307,2,0,0,3,0.0,38105.0,0.0,Eastern
19308,2,0,0,3,0.0,0.0,0.0,Eastern
19309,2,0,0,3,0.0,12115.0,0.0,Eastern
19312,2,0,0,3,0.0,6047.0,0.0,Western
