Speed bin (m/s),0,0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15,15.5,16,16.5,17,17.5,18,18.5,19,19.5,20,20.5,21,21.5,22,22.5,23,23.5,24,24.5,25
GE 2.5-120,0,0,0,0,0,0,0.009881423,0.035177866,0.067588933,0.106324111,0.153754941,0.210671937,0.27826087,0.358102767,0.449011858,0.553359684,0.661660079,0.764426877,0.853754941,0.91541502,0.954940711,0.979051383,0.993675889,0.999209486,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
GE 2.75-120,0,0,0,0,0,0,0.008992806,0.032014388,0.061510791,0.09676259,0.139928058,0.191726619,0.25323741,0.325899281,0.408633094,0.503597122,0.602158273,0.699640288,0.781654676,0.853597122,0.905755396,0.942086331,0.969784173,0.985251799,0.994964029,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GE 2.85-103,0,0,0,0,0,0,0,0,0.015789474,0.047368421,0.082807018,0.127017544,0.172631579,0.225263158,0.281754386,0.352631579,0.438596491,0.532982456,0.627368421,0.709473684,0.791578947,0.850877193,0.908070175,0.945614035,0.975438596,0.99122807,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Goldwind GW 109/2500,0,0,0,0,0,0,0.0088,0.026,0.0472,0.076,0.1076,0.15,0.1948,0.2568,0.3204,0.42,0.5196,0.6496,0.7796,0.878,0.9432,0.98,0.992,0.9972,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Goldwind GW 82/1500,0,0,0,0,0,0,0.019333333,0.042,0.064,0.093333333,0.122666667,0.158666667,0.194,0.250666667,0.307333333,0.392,0.476666667,0.620666667,0.764666667,0.866666667,0.952,0.98,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Leitwind LTW77 1.500,0,0,0,0,0,0.008,0.016,0.030333333,0.044666667,0.071333333,0.098,0.137,0.176,0.229333333,0.282666667,0.343,0.403333333,0.476,0.548666667,0.628333333,0.708,0.785333333,0.862666667,0.904666667,0.946666667,0.962333333,0.978,0.985,0.992,0.996,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mitsubishi MWT-1000,0,0,0,0,0,0,0.005,0.017,0.032,0.049,0.069,0.098,0.13,0.167,0.205,0.261,0.316,0.388,0.46,0.542,0.624,0.705,0.771,0.84,0.894,0.945,0.983,0.998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mitsubishi MWT-1000A,0,0,0,0,0,0,0,0,0,0,0.044,0.1,0.162,0.21,0.268,0.33,0.406,0.485,0.568,0.67,0.767,0.88,0.984,0.996,0.998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mitsubishi MWT-102/2.4,0,0,0,0,0,0,0,0,0.033333333,0.0625,0.092083333,0.145833333,0.200833333,0.2625,0.32625,0.408333333,0.49125,0.604166667,0.714583333,0.795833333,0.883333333,0.958333333,0.997916667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mitsubishi MWT-250,0,0,0,0,0,0,0,0,0,0,0,0.02,0.052,0.116,0.184,0.244,0.304,0.372,0.44,0.516,0.6,0.688,0.78,0.868,0.948,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
Mitsubishi MWT-92/2.4,0,0,0,0,0,0,0,0.002916667,0.024166667,0.047916667,0.077083333,0.108333333,0.142916667,0.195833333,0.25625,0.333333333,0.414583333,0.495833333,0.578333333,0.672916667,0.765833333,0.845833333,0.91625,0.966666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mitsubishi MWT-95/2.4,0,0,0,0,0,0,0,0.002916667,0.024166667,0.047916667,0.077083333,0.108333333,0.142916667,0.195833333,0.25625,0.333333333,0.414583333,0.495833333,0.578333333,0.672916667,0.765833333,0.845833333,0.91625,0.966666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NEG-Micon NM48/750,0,0,0,0,0,0,0,0.005680351,0.021533695,0.043622515,0.06507875,0.088084172,0.115892073,0.157629744,0.205396334,0.256519494,0.319390653,0.379938033,0.448747741,0.507875032,0.576039246,0.644719855,0.702039762,0.763619933,0.826491092,0.878517945,0.919700491,0.949522334,0.970694552,0.990833979,1,0.999483604,0.99302866,0.98257165,0.967854376,0.949005939,0.923702556,0.911825458,0.900077459,0.894526207,0.882132714,0.842757552,0,0,0,0,0,0,0,0,0
