State,LDV Car - 100 mi,LDV Car - 200 mi,LDV Car - 300 mi,LDV Truck - 100 mi,LDV Truck - 200 mi,LDV Truck  - 300 mi,Transit Bus,MDV Truck,HDV Truck
LOUISIANA,928475932.1,865893663.5,1209359737,1916785964,1318243355,543829167.7,8860859.091,665514620,460622935.7
MAINE,323694855.6,301876774.7,421619450.1,668249683.2,459579588.5,189595330.8,15084477.7,127610212.4,63143477.98
MARYLAND,1285196032,1198569657,1673995221,2653214361,1824711922,752768115.2,6612047.268,546363977.2,230886482.3
MASSACHUSETTS,1337324223,1247184242,1741893311,2760830063,1898723151,783300766.6,3707733.061,377606341.6,167352598.1
MICHIGAN,2118046788,1975283511,2758800897,4372587424,3007187253,1240587433,21397341.06,538622889.4,608510162.4
MINNESOTA,1236727181,1153367819,1610863673,2553153267,1755896273,724378852,5290005.024,343986386.5,246558916.4
MISSISSIPPI,783158325.8,730370956.5,1020080521,1616786043,1111922509,458713400.7,3106462.034,316571058.6,386237640
MISSOURI,1366553619,1274443542,1779965394,2821172602,1940222908,800421109.5,4418202.745,596814188.1,822136128.1
MONTANA,229542702.5,214070786.9,298984279.4,473877909.4,325903057,134448307.7,11245202.46,58840264.25,105208040.6
NEBRASKA,374223374.5,348999524.1,487433970.2,772562976.1,531319630.3,219191025.1,4821548.42,114000513,236381372.3
NEVADA,510443413.3,476037887.3,664863463,1053781518,724723840,298978152.3,8871351.303,142092568,183758061.1
NEW HAMPSHIRE,289162070,269671610.6,376639760.7,596958704.5,410550192.1,169368704.4,4048546.66,118075527.1,29470393.68
NEW JERSEY,1699820288,1585246896,2214052156,3509182638,2413392409,995622833.9,16731611.06,507538448.7,201239096.2
NEW MEXICO,434852439.9,405541988.4,566404603.5,897728234.7,617400326.7,254702824.3,9641504.095,355019812.3,324730707.4
NEW YORK,2779801709,2592434073,3620750976,5738743069,3946742131,1628192154,108618884.1,1230173697,828179372.4
NORTH CAROLINA,2418864685,2255825371,3150622802,4993609037,3434286381,1416783249,31322885.6,786626441.7,534763720.6
NORTH DAKOTA,173677412.2,161971000,226218553.8,358547187.6,246585929,101726756.3,4442281.552,161459835.4,167709655.4
OHIO,2329076362,2172089002,3033671397,4808246007,3306805491,1364192181,15387064.63,754453866.9,1225983961
OKLAHOMA,865386548.8,807056707.9,1127184467,1786541506,1228669509,506876301.6,13300484.27,752693839.6,529978559.3
OREGON,564992426.9,526909877.5,735914009.7,1166394423,802171826.4,330928606.6,25632738.92,540472803.3,289897235.7
PENNSYLVANIA,2153961667,2008777676,2805580981,4446731774,3058179017,1261623616,101618282.1,1048123859,725770110.3
RHODE ISLAND,173220594.3,161544965.6,225623516.9,357604099.2,245937332.8,101459183.9,535087.1324,99673982.62,23639313.99
SOUTH CAROLINA,1119289244,1043845524,1457898094,2310709201,1589158679,655592791.9,19493054.21,332302829.5,279607889.7
SOUTH DAKOTA,177122147.8,165183549.4,230705395.7,365658649.2,251476739.5,103744415.2,4772260.364,67446400.46,102246535.9
TENNESSEE,1525549258,1422722372,1987060638,3149410108,2165963768,893548424.2,2778295.743,297168959.3,591228787
TEXAS,4350165722,4056950540,5666183787,8980670699,6176333559,2547989584,50265329.59,2642418440,3019106389
UTAH,453523843.4,422954879.3,590724505.9,936274289.8,643909849.4,265639084,6750679.246,791751563,265660098.6
VERMONT,156115644.8,145592945.1,203343955.6,322291900.5,221651850.7,91440431.7,4264729.234,94164562.24,18407530.08
VIRGINIA,1729399238,1612832128,2252579364,3570246701,2455388384,1012947887,24019986.44,262503916.8,493906284.2
WASHINGTON,1067073072,995148456.3,1389884157,2202911084,1515021997,625008385.7,18420501.13,458773652,286654521.1
WEST VIRGINIA,407486992.6,380021049.4,530760492,841233799.1,578547050.5,238674262.7,15382452.29,229841264.8,140761582.2
WISCONSIN,1262641619,1177535446,1644617508,2606651985,1792689285,739557470.6,20524023.12,624807646.8,385810694.8
WYOMING,176085351,164216632.6,229354935.7,363518234.7,250004698.7,103137138.3,7851385.935,50959213.43,114624371
