State,LDV Car - 100 mi,LDV Car - 200 mi,LDV Car - 300 mi,LDV Truck - 100 mi,LDV Truck - 200 mi,LDV Truck  - 300 mi,Transit Bus,MDV Truck,HDV Truck
MICHIGAN,1606397331,753420281.9,838426843.9,1972333147,795480368.3,3850994.198,9962758.637,89127678.75,125054932.8
MINNESOTA,937975184.7,439898096.8,489557425.8,1151645086,464480890.7,2248595.046,2368384.041,56920544.5,50670326.7
MISSISSIPPI,593973422.9,278565075.8,310012575.5,729280033.6,294132839.9,1423924.342,1401932.494,52384041.16,79375703.34
MISSOURI,1036439890,486076756.3,540949113.6,1272539962,513240148.9,2484643.135,1978070.12,98756781.92,168957208.3
MONTANA,174092847.5,81648412.53,90864281.86,213751039.8,86209957.03,417350.393,4689745.519,9736489.615,21621306.04
NEBRASKA,283823501.5,133109511,148136011.5,348478239.1,140548060.3,680406.1876,2158651.698,18864035.11,48578739.46
NEVADA,387137322.7,181564885,202058587.2,475326852.6,191708576.4,928078.9884,3699744.861,23512518.69,37764121.96
NEW HAMPSHIRE,219310162.9,102856803.5,114464548,269268816.4,108601357.5,525749.2384,1840668.366,19538340.94,6056461.059
NEW JERSEY,1289200426,604637599.6,672872344.7,1582879098,638405965.9,3090582.456,7661983.591,83984035.38,41356649.76
NEW MEXICO,329806605.3,154677151.6,172135965.3,404936250,163318675.6,790640.8468,4020932.551,58746281.31,66735412.68
NEW YORK,2108294373,988794312.4,1100382027,2588561892,1044017422,5054185.114,49740345.06,203560836.8,170199155.6
NORTH CAROLINA,1834547689,860407211.6,957505424.8,2252455965,908459356.2,4397935.951,13256079.96,130165632,109899300.5
NORTH DAKOTA,131722748,61776246.45,68750059.17,161729071.2,65228484.01,315777.1373,1988850.424,26717283.32,34466013.86
OHIO,1766449200,828486594.2,921962704,2168844681,874737297.2,4234684.338,7164329.934,124841931.5,251951982.7
OKLAHOMA,656338041.2,307820147.6,342562513,805851247.7,325015501.8,1573430.171,5461040.912,124550694.1,108915901.9
OREGON,428509011.2,201030683.9,223651437.7,526122901.5,212195612.1,1027258.627,11026003.78,89433790,59576785.38
PENNSYLVANIA,1633636402,766178766.7,852643804.5,2005777272,808969035.2,3916294.085,46534527.21,173436458.8,149153026.5
RHODE ISLAND,131376278.9,61615676.71,68569218.07,161303674.4,65056913.21,314946.5472,243276.919,16493377.61,4858115.781
SOUTH CAROLINA,848906311,398139070.6,443069647.4,1042286388,420374398.1,2035071.427,8249606.65,54987228.38,57462221.71
SOUTH DAKOTA,134335350.5,63001522.83,70113654.87,164936822.1,66522232.43,322040.2933,2136584.981,11160574.92,21012687.16
TENNESSEE,1157027493,542629415.6,603887411.9,1420597314,572954562.1,2773726.144,1253832.507,49173512.79,121503437.1
TEXAS,3299310872,1547364766,1722009319,4050890876,1633803179,7909392.634,20638423.07,437249560.7,620456600.6
UTAH,343967621,161318575.8,179527024.3,422323132.1,170331143.7,824588.8553,2815331.058,131013702.4,54595810.96
VERMONT,118403314.4,55531336.46,61798239.06,145375480.6,58632762.46,283846.6379,1938955.594,15581715.92,3782931.789
VIRGINIA,1311634088,615159494.1,684581143.4,1610423127,649515009.3,3144362.365,10165438.3,43437375.63,101502688.1
WASHINGTON,809303638.5,379676645.4,422399337.1,993662133.8,400763289.6,1940132.233,7923636.869,75914766.11,58910375.05
WEST VIRGINIA,309051732.1,144945994.4,161303362,379453432.3,153040958.9,740885.468,6509969.104,38032580.52,28927914.92
WISCONSIN,957629519.1,449140127.5,499815506.2,1175776631,474213613.1,2295712.057,9556135.411,103388950.4,79287961.83
WYOMING,133549007.7,62633615.53,69703235.11,163971350.2,66132838.79,320155.2026,3274374.306,8432386.541,23556456.25
