State,MDV Truck,HDV Truck,LDV Car - 100 mi,LDV Car - 200 mi,LDV Car - 300 mi,LDV Truck - 100 mi,LDV Truck - 200 mi,LDV Truck - 300 mi
MT,227024948.91142252,383025250.89593756,413385435.63170165,767032330.1235899,1631931619.6848032,1052413861.0985516,1266002077.955807,1348934870.0951529
NC,1585667225.8822713,1017149867.0886186,2275871721.9316254,4222856093.7932935,8984513638.86234,5794009058.747839,6969907732.318093,7426489849.567144
ND,566194680.45406,554930822.0473938,284274128.5373912,527467653.5061552,1122235796.3335583,723716914.7146555,870595829.0250229,927626496.0224231
NE,311986866.0055521,610410867.3005587,478027778.6764496,886975512.0753504,1887121728.7083008,1216983025.8968353,1463970683.56178,1559871929.3116815
NH,289668834.24007344,68219309.16748455,331112747.62144285,614376227.5133651,1307141770.7325094,842960629.0000618,1014040148.4593107,1080467512.4561522
NJ,670584695.261791,250886070.17416978,1048287470.014111,1945086397.676708,4138349703.5786242,2668773919.7423425,3210403675.661657,3420709602.7632527
NM,1006257433.6259621,868479099.9180843,575295704.9082565,1067455132.6936806,2271108681.112527,1464611768.798079,1761855873.6592531,1877270871.3862708
NV,243204429.71381053,296774115.0202376,407793623.3630637,756656781.2427425,1609856687.9964452,1038177992.5049164,1248877028.6883676,1330687999.4847627
NY,918050377.2536936,583181833.4973953,968292551.3608509,1796656665.7505832,3822551835.755155,2465119522.718157,2965417459.3566732,3159674920.7348676
OH,1222884310.4715097,1875067792.496588,1762094089.992112,3269547123.95497,6956261425.989157,4486012582.323711,5396452347.206293,5749961135.693736
OK,1807730092.5256908,1201027710.0003383,970103499.771535,1800016850.9872746,3829700921.498916,2469729902.3737144,2970963519.171972,3165584289.7688985
OR,1374624329.3617506,695718827.9753757,670726265.4150596,1244525722.6265647,2647842893.8602962,1707563012.406043,2054114262.3206959,2188674413.6141095
PA,1578126510.6616046,1031116623.0279797,1513769935.4605665,2808784226.5601645,5975946048.096085,3853818575.350158,4635954071.685405,4939644422.664483
RI,22161781.00276014,4959492.272789154,17976911.04433942,33355969.738717932,70967884.8174823,45766369.16057273,55054689.60404725,58661191.685466446
SC,757894883.7942784,601733040.9084593,1191543667.9649665,2210896770.146626,4703885650.921115,3033481518.116097,3649128966.5899663,3888174746.486734
SD,236015624.36281097,337605942.07045007,289299421.6109629,536792031.9127851,1142074266.3457444,736510515.0941707,885985900.6153919,944024734.6848979
TN,595281611.8528025,1117516893.6367416,1426388992.2168958,2646649759.0754747,5630990028.694514,3631360494.2870917,4368347948.947788,4654508057.805898
TX,4406138481.83717,4750228159.252973,3385751333.3026266,6282226024.988706,13366011981.369947,8619586788.243156,10368938673.655857,11048183242.603516
UT,1304728824.786522,413082844.2051948,348838299.7971717,647265798.1307373,1377117340.2037349,888087074.0585952,1068325040.8639275,1138308479.3542383
VA,448312651.8978283,795919711.8729383,1378583788.9232728,2557947751.5183907,5442268443.576092,3509656051.477724,4221943494.20954,4498512994.628294
VT,317818997.25325406,58622911.167371854,245941312.43639272,456341523.5740431,970908444.1591117,626127640.5628076,753200735.298802,802541128.2629269
WA,739277981.0585461,435860588.066478,802594112.0650052,1489205162.8176787,3168420898.1593313,2043277698.2261026,2457962506.399151,2618977797.9053483
WI,1517451813.1255555,884142640.725314,1431335212.9333067,2655827492.663864,5650516613.123934,3643952846.3378167,4383495928.70352,4670648345.772087
WV,603637618.7870629,348828479.8324778,499522139.0159349,926858086.244755,1971975585.290563,1271704275.1631758,1529797653.1982398,1630011067.5338674
WY,193358550.5847394,410390343.18157166,311857793.8300893,578648858.0642953,1231128507.9958394,793940561.5896138,955071419.9988359,1017635882.5160599
DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
