Area Name,UA,State,UA Number,Census Division,Census Division 2,Census Division 3,Total Number of Census Divisions,Weight Factor - 1st,LDV Car - 100 mi,LDV Car - 200 mi,LDV Car - 300 mi,LDV Truck - 100 mi,LDV Truck - 200 mi,LDV Truck  - 300 mi,Transit Bus,MDV Truck,HDV Truck
"Baton Rouge, LA",Baton Rouge,LA,200,7,0,0,1,1,14068079.71,6811694.918,5712612.901,0.116787846,2406.541188,0.116787846,1607.811359,476.6786766,421.6181977
"Hammond, LA",Hammond,LA,201,7,0,0,1,1,0,0,0,0,0,0,0,0,0
"Houma, LA",Houma,LA,202,7,0,0,1,1,3311554.933,1603438.59,1344720.233,0.027491269,566.4876446,0.027491269,378.4706759,112.2077536,99.24679492
"Lafayette, LA",Lafayette,LA,203,7,0,0,1,1,5446323.977,2637083.249,2211584.043,0.04521331,931.6696549,0.04521331,622.4489578,184.5416402,163.2254967
"Lake Charles, LA",Lake Charles,LA,204,7,0,0,1,1,3557926.591,1722730.534,1444764.158,0.029536553,608.632952,0.029536553,406.6279766,120.5557385,106.6305159
"Mandeville--Covington, LA",Mandeville--Covington,LA,205,7,0,0,1,1,1922856.518,931037.6566,780812.6747,0.015962823,328.931418,0.015962823,219.7592432,65.15350487,57.62771578
"Monroe, LA",Monroe,LA,206,7,0,0,1,1,2873937.116,1391546.199,1167017.147,0.023858333,491.6270154,0.023858333,328.4562524,97.37964023,86.13145589
"New Orleans, LA",New Orleans,LA,207,7,0,0,1,1,13676699.09,6622190.349,5553685.313,0.113538752,2339.590076,0.113538752,1563.081288,463.4172507,409.8885803
"Shreveport, LA",Shreveport,LA,208,7,0,0,1,1,8071705.258,3908279.936,3277670.338,0.067008226,1380.777729,0.067008226,922.4982845,273.4992876,241.9077722
"Slidell, LA",Slidell,LA,209,7,0,0,1,1,2473527.307,1197669.741,1004423.084,0.020534283,423.1313346,0.020534283,282.6942542,83.81227199,74.13123514
"Barnstable Town, MA",Barnstable Town,MA,210,1,0,0,1,1,9023056.125,4558128.221,3663984.558,0.224717938,1543.51956,0.224717938,6350.747271,168.1540196,106.330042
"Leominster--Fitchburg, MA",Leominster--Fitchburg,MA,211,1,0,0,1,1,2715296.724,1371671.688,1102598.18,0.067624081,464.4893645,0.067624081,1911.122243,50.60237377,31.99776336
"New Bedford, MA",New Bedford,MA,212,1,0,0,1,1,2784950.346,1406858.23,1130882.366,0.069358795,476.4045878,0.069358795,1960.146935,51.90044134,32.81857978
"Pittsfield, MA",Pittsfield,MA,213,1,0,0,1,1,1032632.323,521649.258,419320.1097,0.025717562,176.646157,0.025717562,726.8032932,19.24417553,12.16880808
"Springfield, MA--CT",Springfield,MA--CT,214,1,0,0,1,1,14576565.22,7363564.227,5919093.169,0.363027297,2493.524725,0.363027297,10259.50416,271.6494279,171.7740387
"Worcester, MA--CT",Worcester,MA--CT,215,1,0,0,1,1,12492531.91,6310784.448,5072831.575,0.311124742,2137.021769,0.311124742,8792.687518,232.8113033,147.2152478
"Boston, MA--NH--RI",Boston,MA--NH--RI,216,1,0,0,1,1,96369007.25,48682207.61,39132479.01,2.400056508,16485.26238,2.400056508,67827.92896,1795.936511,1135.637465
"Aberdeen--Bel Air South--Bel Air North, MD",Aberdeen--Bel Air South--Bel Air North,MD,217,5,0,0,1,1,4070241.367,2069833.091,1652799.374,0.025720438,696.2715379,0.025720438,268.2310019,81.79689288,44.17320597
"Baltimore, MD",Baltimore,MD,218,5,0,0,1,1,52870855.56,26886328.48,21469222.36,0.33409851,9044.297031,0.33409851,3484.216606,1062.50989,573.7928005
"Frederick, MD",Frederick,MD,219,5,0,0,1,1,3825303.773,1945275.382,1553337.778,0.024172643,654.3715472,0.024172643,252.0894884,76.87454741,41.51496588
"Lexington Park--California--Chesapeake Ranch Estates, MD",Lexington Park--California--Chesapeake Ranch Estates,MD,220,5,0,0,1,1,0,0,0,0,0,0,0,0,0
"Waldorf, MD",Waldorf,MD,221,5,0,0,1,1,0,0,0,0,0,0,0,0,0
"Westminster--Eldersburg, MD",Westminster--Eldersburg,MD,222,5,0,0,1,1,1600964.168,814135.6526,650102.128,0.010116722,273.8672434,0.010116722,105.504363,32.17349605,17.37482217
"Salisbury, MD--DE",Salisbury,MD--DE,223,5,0,0,1,1,1714451.03,871846.9387,696185.6397,0.010833862,293.2807537,0.010833862,112.9832057,34.45416491,18.60646376
"Cumberland, MD--WV--PA",Cumberland,MD--WV--PA,224,5,2,0,2,0.66666,1331981.503,677350.3443,540876.5711,0.008416982,227.8540082,0.008416982,87.77826692,26.76793303,14.45562756
"Hagerstown, MD--WV--PA",Hagerstown,MD--WV--PA,225,5,2,0,2,0.666666,4179983.562,2125640.107,1697362.292,0.026413915,715.0444707,0.026413915,275.4630692,84.0023077,45.36420773
"Bangor, ME",Bangor,ME,226,1,0,0,1,1,1740584.344,879281.5329,706797.5718,0.010428299,297.7512214,0.010428299,72.88589865,23.23280256,13.15832005
"Lewiston, ME",Lewiston,ME,227,1,0,0,1,1,1610714.581,813675.9303,654061.4698,0.009650215,275.5351875,0.009650215,67.44768219,21.49933955,12.17654176
"Portland, ME",Portland,ME,228,1,0,0,1,1,4946093.952,2498591.399,2008456.072,0.029633351,846.0983347,0.029633351,207.1146415,66.01899217,37.3910563
"Ann Arbor, MI",Ann Arbor,MI,229,3,0,0,1,1,8780440.678,4821697.475,3565465.914,0.032325963,1502.016806,0.032325963,1413.653076,105.5527474,152.3906201
"Battle Creek, MI",Battle Creek,MI,230,3,0,0,1,1,2277684.375,1250769.227,924897.3143,0.008385495,389.6296708,0.008385495,366.7077359,27.38084025,39.53078747
"Bay City, MI",Bay City,MI,231,3,0,0,1,1,1882587.657,1033805.532,764460.7333,0.006930912,322.0428682,0.006930912,303.0970686,22.63124446,32.6736107
"Benton Harbor--St. Joseph--Fair Plain, MI",Benton Harbor--St. Joseph--Fair Plain,MI,232,3,0,0,1,1,2026172.693,1112653.922,822766.1843,0.007459533,346.6050907,0.007459533,326.2142943,24.35733039,35.1656283
"Detroit, MI",Detroit,MI,233,3,0,0,1,1,94048281.2,51645740.41,38190103.8,0.346247006,16088.26984,0.346247006,15141.79605,1130.587272,1632.27296
"Flint, MI",Flint,MI,234,3,0,0,1,1,10465644.19,5747111.334,4249775.037,0.038530188,1790.294364,0.038530188,1684.971248,125.811168,181.6384924
"Grand Rapids, MI",Grand Rapids,MI,235,3,0,0,1,1,15664234.98,8601869.2,6360762.282,0.057669257,2679.585804,0.057669257,2521.945625,188.3052456,271.8636307
"Holland, MI",Holland,MI,236,3,0,0,1,1,1810325.533,994123.4579,735117.3154,0.006664872,309.6814243,0.006664872,291.4628491,21.7625562,31.41945156
"Jackson, MI",Jackson,MI,237,3,0,0,1,1,2233543.453,1226529.649,906973.0484,0.008222986,382.0787506,0.008222986,359.6010368,26.8502068,38.76469124
"Kalamazoo, MI",Kalamazoo,MI,238,3,0,0,1,1,5265986.906,2891767.817,2138354.726,0.019387193,900.8204856,0.019387193,847.8251672,63.30426984,91.39484449
"Lansing, MI",Lansing,MI,239,3,0,0,1,1,6920539.285,3800349.893,2810217.372,0.025478573,1183.85474,0.025478573,1114.208501,83.19422248,120.1107452
"Midland, MI",Midland,MI,240,3,0,0,1,1,0,0,0,0,0,0,0,0,0
"Monroe, MI",Monroe,MI,241,3,0,0,1,1,1707523.85,937670.8687,693372.7257,0.006286399,292.0957632,0.006286399,274.9117534,20.52674124,29.63525727
"Muskegon, MI",Muskegon,MI,242,3,0,0,1,1,3790295.185,2081405.409,1539121.871,0.013954305,648.3828406,0.013954305,610.2384426,45.56446368,65.78319413
"Port Huron, MI",Port Huron,MI,243,3,0,0,1,1,1846117.089,1013778.059,749651.1615,0.006796642,315.804069,0.006796642,297.2252984,22.19281901,32.04063877
"Saginaw, MI",Saginaw,MI,244,3,0,0,1,1,3500262.95,1922136.9,1421348.734,0.012886525,598.7687829,0.012886525,563.5431827,42.07788478,60.74948413
"South Lyon--Howell, MI",South Lyon--Howell,MI,245,3,0,0,1,1,4721096.164,2592546.125,1917091.416,0.01738113,807.6093266,0.01738113,760.0976258,56.75394771,81.93788883
"Mankato, MN",Mankato,MN,246,4,0,0,1,1,0,0,0,0,0,0,0,0,0
"Rochester, MN",Rochester,MN,247,4,0,0,1,1,2316539.848,1033307.533,940675.3226,0.014214241,396.2764406,0.014214241,144.3256564,30.4586793,27.89948519
"St. Cloud, MN",St. Cloud,MN,248,4,0,0,1,1,2569189.928,1146003.729,1043268.721,0.015764497,439.4957594,0.015764497,160.0663261,33.78061126,30.94230233
"Duluth, MN--WI",Duluth,MN--WI,249,4,3,0,2,0.5,2849513.267,1271043.762,1157099.375,0.017484555,487.4489751,0.017484555,177.5311023,37.46640095,34.3184052
"Minneapolis--St. Paul, MN--WI",Minneapolis--St. Paul,MN--WI,250,4,3,0,2,0.5,66335036.14,29589170.5,26936610.47,0.407030433,11347.53284,0.407030433,4132.82234,872.1963466,798.9128094
"Columbia, MO",Columbia,MO,251,4,0,0,1,1,2536989.892,1119669.826,1030193.28,0.024787324,433.9874943,0.024787324,149.3030586,48.47795801,75.58460861
"Jefferson City, MO",Jefferson City,MO,252,4,0,0,1,1,1667672.286,736007.0076,677190.2358,0.016293771,285.2785969,0.016293771,98.14330513,31.86664138,49.68500562
"Joplin, MO",Joplin,MO,253,4,0,0,1,1,1978397.482,873141.8173,803366.146,0.019329671,338.4324741,0.019329671,116.4296303,37.8041199,58.9424498
"Lees Summit, MO",Lees Summit,MO,254,4,0,0,1,1,0,0,0,0,0,0,0,0,0
"Springfield, MO",Springfield,MO,255,4,0,0,1,1,6389060.849,2819734.786,2594400.385,0.062423473,1092.937941,0.062423473,375.9992617,122.0850838,190.349463
"Cape Girardeau, MO--IL",Cape Girardeau,MO--IL,256,4,3,0,2,0.5,0,0,0,0,0,0,0,0,0
"St. Louis, MO--IL",St. Louis,MO--IL,257,4,3,0,2,0.5,63085034.14,27841817.35,25616884.98,0.616363974,10791.57468,0.616363974,3712.584184,1205.457556,1879.494132
"Kansas City, MO--KS",Kansas City,MO--KS,258,4,0,0,1,1,42156259.57,18605155.65,17118355.68,0.411882153,7211.415984,0.411882153,2480.915873,805.5410025,1255.962584
"St. Joseph, MO--KS",St. Joseph,MO--KS,259,4,0,0,1,1,1483115.658,654555.1701,602247.4859,0.014490585,253.7076123,0.014490585,87.28205998,28.34004928,44.18650498
"Gulfport, MS",Gulfport,MS,260,6,0,0,1,1,6506227.534,2902144.733,2641978.159,0.036565799,1112.980936,0.036565799,306.3866225,134.3215371,236.4590342
"Hattiesburg, MS",Hattiesburg,MS,261,6,0,0,1,1,1931795.824,861689.9803,784442.6509,0.01085693,330.4606106,0.01085693,90.9707499,39.88206423,70.20820779
"Jackson, MS",Jackson,MS,262,6,0,0,1,1,14090821.49,6285301.76,5721847.633,0.079192149,2410.431484,0.079192149,663.5549067,290.9060268,512.1096706
"Pascagoula, MS",Pascagoula,MS,263,6,0,0,1,1,1745759.897,778707.456,708899.2039,0.009811385,298.6365715,0.009811385,82.21007885,36.0413391,63.44701241
"Billings, MT",Billings,MT,264,8,0,0,1,1,2143281.184,1012966.557,870320.3274,0.066397167,366.6381305,0.066397167,1300.980513,25.97133214,59.34364366
"Great Falls, MT",Great Falls,MT,265,8,0,0,1,1,1004864.331,474923.2015,408044.3855,0.031129908,171.8960547,0.031129908,609.956791,12.17650091,27.82290594
"Missoula, MT",Missoula,MT,266,8,0,0,1,1,1369174.684,647105.0908,555979.5737,0.042415956,234.2164202,0.042415956,831.0946766,16.59105241,37.9100116
"Asheville, NC",Asheville,NC,267,5,0,0,1,1,9508622.412,4241382.324,3861158.038,0.191704061,1626.582442,0.191704061,1784.410669,136.9296317,362.8353131
"Burlington, NC",Burlington,NC,268,5,0,0,1,1,3020213.433,1347185.671,1226415.443,0.060890753,516.6496186,0.060890753,566.7804273,43.49281055,115.2469873
"Concord, NC",Concord,NC,269,5,0,0,1,1,4395494.474,1960638.646,1784874.621,0.088617899,751.9106162,0.088617899,824.8689344,63.29764856,167.7257277
"Durham, NC",Durham,NC,270,5,0,0,1,1,9362420.746,4176168.128,3801790.054,0.188756478,1601.572609,0.188756478,1756.974117,134.8242437,357.2564684
"Fayetteville, NC",Fayetteville,NC,271,5,0,0,1,1,7731583.9,3448722.84,3139557.554,0.155877052,1322.595228,0.155877052,1450.927401,111.3392551,295.0260872
"Goldsboro, NC",Goldsboro,NC,272,5,0,0,1,1,1576464.193,703192.0159,640153.4446,0.031783215,269.6761809,0.031783215,295.8430153,22.7019911,60.15559923
"Greensboro, NC",Greensboro,NC,273,5,0,0,1,1,9347983.023,4169728.089,3795927.341,0.188465398,1599.102835,0.188465398,1754.2647,134.6163321,356.7055458
"Greenville, NC",Greenville,NC,274,5,0,0,1,1,2292294.309,1022492.654,930829.9577,0.04621512,392.1289031,0.04621512,430.1773954,33.0103565,87.47064373
"Hickory, NC",Hickory,NC,275,5,0,0,1,1,6447236.824,2875831.547,2618023.853,0.129983233,1102.889753,0.129983233,1209.903778,92.84391849,246.0172557
"High Point, NC",High Point,NC,276,5,0,0,1,1,4592848.361,2048669.619,1865013.942,0.092596766,785.6707502,0.092596766,861.9048336,66.13965803,175.2564673
"Jacksonville, NC",Jacksonville,NC,277,5,0,0,1,1,2086287.959,930602.1933,847177.1381,0.04206181,356.8886445,0.04206181,391.5177543,30.04374657,79.60973862
"New Bern, NC",New Bern,NC,278,5,0,0,1,1,0,0,0,0,0,0,0,0,0
"Raleigh, NC",Raleigh,NC,279,5,0,0,1,1,23654909.15,10551424.72,9605528.396,0.476908425,4046.50203,0.476908425,4439.136442,340.6442972,902.637206
"Rocky Mount, NC",Rocky Mount,NC,280,5,0,0,1,1,1445030.953,644565.3717,586782.4628,0.029133379,247.1926925,0.029133379,271.1779412,20.80927685,55.14029639
"Wilmington, NC",Wilmington,NC,281,5,0,0,1,1,4854183.35,2165239.775,1971134.014,0.09786556,830.3757439,0.09786556,910.9475784,69.90303219,185.2286335
"Charlotte, NC--SC",Charlotte,NC--SC,282,5,0,0,1,1,30440746.5,13578291.21,12361047.47,0.613718209,5207.314124,0.613718209,5712.582799,438.364258,1161.574969
"Gastonia, NC--SC",Gastonia,NC--SC,283,5,0,0,1,1,3882844.783,1731967.946,1576703.406,0.078282329,664.2147387,0.078282329,728.6638757,55.91519815,148.1637551
"Bismarck, ND",Bismarck,ND,284,4,0,0,1,1,1344204.741,635303.6915,545840.0507,0.019624583,229.9449633,0.019624583,289.4645924,17.68858664,29.23303009
"Fargo, ND--MN",Fargo,ND--MN,285,4,0,0,1,1,3165020.191,1495865.139,1285216.998,0.046207396,541.4208338,0.046207396,681.5637914,41.64896326,68.83112943
"Grand Forks, ND--MN",Grand Forks,ND--MN,286,4,0,0,1,1,779888.7804,368594.3117,316688.7592,0.011385908,133.4108499,0.011385908,167.9433059,10.26267044,16.96059499
"Grand Island, NE",Grand Island,NE,287,4,0,0,1,1,0,0,0,0,0,0,0,0,0
"Lincoln, NE",Lincoln,NE,288,4,0,0,1,1,5180208.599,2616857.822,2103522.803,0.139992139,886.1469094,0.139992139,1095.422769,99.99304113,31.89344888
"Omaha, NE--IA",Omaha,NE--IA,289,4,0,0,1,1,14151638.62,7148906.364,5746543.593,0.382439842,2420.835105,0.382439842,2992.548827,273.1676448,87.12864633
"Manchester, NH",Manchester,NH,290,1,0,0,1,1,3930175.002,1993008.368,1595922.747,0.018021311,672.3112333,0.018021311,593.2665795,55.4730174,28.10805948
"Nashua, NH--MA",Nashua,NH--MA,291,1,0,0,1,1,5310033.577,2692740.488,2156240.719,0.024348474,908.3552821,0.024348474,801.5585707,74.94922869,37.97661416
"Dover--Rochester, NH--ME",Dover--Rochester,NH--ME,292,1,0,0,1,1,2011214.603,1019895.432,816692.1655,0.009222165,344.0463005,0.009222165,303.5962539,28.38757627,14.38392429
"Portsmouth, NH--ME",Portsmouth,NH--ME,293,1,0,0,1,1,2601647.583,1319306.494,1056448.772,0.01192952,445.0480943,0.01192952,392.7231132,36.72132705,18.60661802
"Atlantic City, NJ",Atlantic City,NJ,294,2,0,0,1,1,5028848.324,2376755.421,2042060.068,0.085165075,860.2546235,0.085165075,1381.526652,194.0810651,226.8608733
"Trenton, NJ",Trenton,NJ,295,2,0,0,1,1,5919711.61,2797798.97,2403812.148,0.100252115,1012.64921,0.100252115,1626.264869,228.4626341,267.0494036
"Twin Rivers--Hightstown, NJ",Twin Rivers--Hightstown,NJ,296,2,0,0,1,1,0,0,0,0,0,0,0,0,0
"Villas, NJ",Villas,NJ,297,2,0,0,1,1,0,0,0,0,0,0,0,0,0
"Vineland, NJ",Vineland,NJ,298,2,0,0,1,1,2026508.632,957777.0231,822902.5989,0.03431954,346.6625574,0.03431954,556.7230319,78.21014446,91.41964294
"Albuquerque, NM",Albuquerque,NM,299,8,0,0,1,1,15034272.6,7623943.233,6104954.008,0.043008442,2571.821955,0.043008442,9009.012355,314.5132896,270.584327
"Farmington, NM",Farmington,NM,300,8,0,0,1,1,1401590.691,710752.5683,569142.7137,0.004009521,239.7616304,0.004009521,839.8775376,29.32093295,25.22559514
"Las Cruces, NM",Las Cruces,NM,301,8,0,0,1,1,2672562.081,1355267.536,1085244.961,0.00764538,457.179008,0.00764538,1601.483853,55.90934221,48.10032591
"Los Lunas, NM",Los Lunas,NM,302,8,0,0,1,1,0,0,0,0,0,0,0,0,0
