Area Name,State,UA,MDV Truck,HDV Truck,LDV Car - 100 mi,LDV Car - 200 mi,LDV Car - 300 mi,LDV Truck - 100 mi,LDV Truck - 200 mi,LDV Truck - 300 mi
"Houma, LA",LA,Houma,1736676.2617462908,1348678.2992009977,18955094.183608655,11464675.542912278,12558266.541330582,5906073.731977736,2378856.4655424124,0.0
"Hammond, LA",LA,Hammond,915883.0657224295,711261.8756609547,9996480.14678575,6046205.856005092,6622940.563756934,3114727.2725356766,1254554.1161389467,0.0
"Shreveport, LA",LA,Shreveport,4233038.315280147,3287317.8733750135,46201840.67482873,27944419.99028869,30609978.735759944,14395680.387311978,5798311.859843929,0.0
"New Bedford, MA",MA,New Bedford,604902.7588388276,300801.7012523498,16760114.920286184,10153039.329715714,11104032.6382961,5222157.158366432,2103387.611468005,0.0
"Springfield, MA-CT",MA,Springfield,2708930.987031835,1347077.7535195453,75056683.06246708,45468271.471626826,49727096.88518349,23386342.91006462,9419583.222570049,0.0
"Providence, RI-MA",MA,Providence,1244199.9487941687,618706.8182889391,34473200.56141549,20883374.77313985,22839434.33568943,10741243.239668887,4326372.661130601,0.0
"Boston, MA-NH-RI",MA,Boston,20464603.000851933,10176490.862641899,567015264.9836056,343489785.91785353,375663057.1291189,176671988.17074788,71160185.33000603,0.0
"Leominster-Fitchburg, MA",MA,Leominster-Fitchburg,589773.7033638291,293278.43315888545,16340932.324916469,9899104.473220807,10826312.751378313,5091547.231078703,2050780.3660978398,0.0
"Nashua, NH-MA",MA,Nashua,35325.68790852314,17566.50447617575,978773.1669823036,592926.868730089,648463.8824585313,304968.5115337111,122835.63469937883,0.0
"Worcester, MA-CT",MA,Worcester,2529780.7050007754,1257991.1874105958,70092944.22846672,42461309.05855631,46438484.70782875,21839729.154280547,8796636.016082712,0.0
"Pittsfield, MA",MA,Pittsfield,224292.02078477034,111534.32587891797,6214486.5255236365,3764647.581936297,4117266.5902273827,1936324.7477232008,779915.5334907492,0.0
"Barnstable Town, MA",MA,Barnstable Town,1959845.190924111,974577.7465999026,54301671.046949625,32895180.279560428,35976336.11029268,16919446.049015824,6814837.649109294,0.0
"Washington, DC-VA-MD",MD,Washington,11621334.129801696,5510283.96640482,213863808.21867445,129588324.62592614,141690597.41694486,66636203.4940377,26839821.294934846,0.0
"Aberdeen-Bel Air South-Bel Air North, MD",MD,Aberdeen-Bel Air South-Bel Air North,1265997.3802819941,600275.7504570101,23297757.203939263,14117009.08511393,15435398.650180949,7259171.633233913,2923859.091142422,0.0
"Westminster-Eldersburg, MD",MD,Westminster-Eldersburg,497959.7669146464,236108.83990573965,9163799.173362808,5552699.131169962,6071266.523763809,2855278.747633269,1150053.0839899858,0.0
"Frederick, MD",MD,Frederick,1189812.62251739,564152.5614577194,21895752.731666725,13267480.536112858,14506532.504421469,6822331.683117725,2747908.097826066,0.0
"Baltimore, MD",MD,Baltimore,16444814.594086725,7797349.011411851,302628823.44313383,183374468.73391312,200499837.47320426,94293821.9892644,37979794.746780574,0.0
"Hagerstown, MD-WV-PA",MD,Hagerstown,721642.0480464823,342168.33991863905,13280154.82922681,8046957.685017657,8798464.252626946,4137862.815609457,1666654.0512598509,0.0
"Salisbury, MD-DE",MD,Salisbury,399575.46982368367,189459.68510550755,7353263.46293747,4455625.758430202,4871737.306587556,2291147.6445820983,922831.5857819933,0.0
"Lexington Park-California-Chesapeake Ranch Estates, MD",MD,Lexington Park-California-Chesapeake Ranch Estates,484150.5494128277,229561.16569390055,8909672.425910851,5398713.939756639,5902900.632564138,2776097.3199876365,1118160.2801318434,0.0
"Philadelphia, PA-NJ-DE-MD",MD,Philadelphia,276733.6230054722,131213.9233568521,5092643.049160067,3085828.715739173,3374014.7156125205,1586778.059237302,639124.6396332195,0.0
"Cumberland, MD-WV-PA",MD,Cumberland,396095.4509660033,187809.62566309914,7289221.755052334,4416820.41918116,4829307.930970303,2271193.3740849784,914794.3773857885,0.0
"Waldorf, MD",MD,Waldorf,903903.936151314,428588.2593954625,16634263.836665733,10079341.614337325,11020652.817508578,5182944.22616936,2087593.372939484,0.0
"Portland, ME",ME,Portland,1356895.4181651082,753339.9295447926,26927171.538236875,16312097.677493263,17839984.572878726,8390033.258827042,3379349.085300549,0.0
"Dover-Rochester, NH-ME",ME,Dover-Rochester,48830.34627146051,27110.305722407382,969023.1779993593,587020.4640258878,642004.2491920196,301930.5863760707,121612.01504425009,0.0
"Lewiston, ME",ME,Lewiston,441878.22876679734,245328.0549629295,8768937.315084962,5312097.552034508,5809659.815161539,2732246.7052902216,1100498.0694949934,0.0
"Bangor, ME",ME,Bangor,477506.27968563186,265108.5281001357,9475965.009202916,5740404.876878032,6278084.920180505,2952544.1048941105,1189229.7577826714,0.0
"Portsmouth, NH-ME",ME,Portsmouth,127305.85528603158,70679.42213373209,2526345.477490449,1530424.1716364052,1673772.6901688024,787164.8364304964,317055.33076087554,0.0
"Port Huron, MI",MI,Port Huron,343485.5498699753,435404.63181053207,10567034.86473028,6422463.172141926,7000948.002084257,3292502.7299687983,1326158.7583295414,0.0
"Lansing, MI",MI,Lansing,1287624.3094818848,1632201.379628567,39612644.47986225,24075888.22974516,26244454.36005896,12342605.25878931,4971371.448096814,0.0
"Detroit, MI",MI,Detroit,17498470.589295927,22181180.975630324,538325262.4937004,327184893.13772833,356655127.8737502,167732710.17469284,67559610.6973091,0.0
"Kalamazoo, MI",MI,Kalamazoo,979780.9788152226,1241977.0686059208,30142111.55857717,18319860.196703967,19969968.7183731,9391753.30298984,3782823.25644371,0.0
"Benton Harbor-St. Joseph-Fair Plain, MI",MI,Benton Harbor-St. Joseph-Fair Plain,376986.40343521576,477870.5428726821,11597659.552598884,7048859.241320158,7683764.888921186,3613627.3067132737,1455501.7550986249,0.0
"Monroe, MI",MI,Monroe,317699.11686150025,402717.5729982701,9773737.63071058,5940310.672857669,6475367.008298925,3045325.2253875993,1226600.264549491,0.0
"South Bend, IN-MI",MI,South Bend,186873.2061473213,236881.75397372193,5748992.018412955,3494139.083276084,3808863.5743640885,1791285.0820973073,721496.2583526566,0.0
"Battle Creek, MI",MI,Battle Creek,423782.25883655547,537189.2891750874,13037293.434542453,7923844.107605663,8637561.491141718,4062191.9747712477,1636175.2463634,0.0
"Midland, MI",MI,Midland,300292.7655042135,380653.1629910569,9238246.336448502,5614848.217171091,6120589.461457426,2878475.5300092716,1159396.315761062,0.0
"Michigan City-La Porte, IN-MI",MI,Michigan City-La Porte,3903.384824687473,4947.957295587032,120084.24677121217,72985.15262939835,79559.07955984297,37416.14515157132,15070.526181813048,0.0
"Flint, MI",MI,Flint,1947220.7747590716,2468310.369413601,59904557.335804336,36408966.02099818,39688398.53038055,18665209.407420896,7517998.605255748,0.0
"Saginaw, MI",MI,Saginaw,651253.2447252296,825533.0663614309,20035240.915914215,12177076.97330802,13273892.029041452,6242629.673855429,2514414.9286915604,0.0
"Grand Rapids, MI",MI,Grand Rapids,2914462.141887004,3694392.140497345,89660898.62270652,54494361.64041478,59402783.951516606,27936763.459732562,11252407.842910469,0.0
"Muskegon, MI",MI,Muskegon,705216.1716462421,893936.8415314674,21695363.533570442,13186071.124422627,14373768.415565697,6759894.764837561,2722759.6703800764,0.0
"Ann Arbor, MI",MI,Ann Arbor,1633674.5447909248,2070857.0242392835,50258579.66648939,30546305.668920316,33297675.97134567,15659691.945238454,6307432.166082775,0.0
"Bay City, MI",MI,Bay City,350271.20455555286,444006.17409109004,10775789.642535813,6549340.757919527,7139253.720132108,3357547.057409493,1352357.4016077959,0.0
"Elkhart, IN-MI",MI,Elkhart,4321.315776050505,5477.729427396738,132941.5298091007,80799.58949477268,88077.37926724486,41422.24904392467,16684.110193533154,0.0
"Jackson, MI",MI,Jackson,415569.4704919304,526778.7025094096,12784634.128183987,7770282.099818383,8470167.828803929,3983467.766269405,1604466.6018581092,0.0
"Holland, MI",MI,Holland,336826.23100760754,426963.23368337424,10362166.69889147,6297947.802685198,6865217.270173164,3228669.4026501426,1300447.883338785,0.0
"South Lyon-Howell, MI",MI,South Lyon-Howell,878399.4915239499,1113465.2020567441,27023198.080992375,16424237.895528117,17903603.710678175,8419954.56560141,3391400.8302173633,0.0
"Toledo, OH-MI",MI,Toledo,132771.31326126086,168301.8245961249,4084594.233436799,2482546.55853837,2706154.773213587,1272687.923959901,512614.98483120726,0.0
"Mankato, MN",MN,Mankato,348372.323135746,280171.94495223893,9798743.392973494,5909636.43150918,6491934.908910716,3053115.6266767653,1229738.093048915,0.0
"Rochester, MN",MN,Rochester,471418.984816877,379129.92821788846,13259703.357653627,7996946.433925911,8784915.336295007,4131489.7127911923,1664087.084179384,0.0
"St. Cloud, MN",MN,St. Cloud,522833.61690085405,420479.18736772815,14705853.792051723,8869121.870083384,9743029.465024779,4582084.683259787,1845578.3434294043,0.0
"Fargo, ND-MN",MN,Fargo,161954.818911892,130249.14321695882,4555338.086242723,2747331.04365254,3018035.798873549,1419363.007901263,571692.9759979452,0.0
"Duluth, MN-WI",MN,Duluth,449599.7680087859,361582.2299523307,12645989.545334416,7626814.738630908,8378313.187173236,3940267.3125757957,1587066.2639607023,0.0
"Grand Forks, ND-MN",MN,Grand Forks,22507.84465774062,18101.51437312901,633082.996217731,381813.2783536413,419434.76204620686,197257.4963154697,79451.64449032857,0.0
"Minneapolis-St. Paul, MN-WI",MN,Minneapolis-St. Paul,13497863.870565316,10855405.32978351,379657325.33069384,228971886.62706214,251533339.01012293,118294526.78397955,47646831.490557216,0.0
"La Crosse, WI-MN",MN,La Crosse,22348.733731599004,17973.552377643857,628607.6489161816,379114.1898689016,416469.72232516855,195863.05702532924,78889.99032350087,0.0
"St. Louis, MO-IL",MO,St. Louis,16251549.969559824,25118917.808907464,291122930.84542865,175576664.1879369,192876886.52966347,90708770.89050858,36535802.95585533,0.0
"Alton, IL-MO",MO,Alton,739.7433762567123,1143.371130918619,13251.428951252192,7991.9561273572035,8779.433316242668,4128.91155368726,1663.048649724973,0.0
"Springfield, MO",MO,Springfield,1991136.0117636716,3077563.79665503,35668311.79439916,21511610.8644871,23631229.96424385,11113616.894463133,4476357.831737051,0.0
"St. Joseph, MO-KS",MO,St. Joseph,448726.35879859433,693565.8781140555,8038281.45412166,4847899.26860068,5325580.830811654,2504586.7347443104,1008800.8748009857,0.0
"Jefferson City, MO",MO,Jefferson City,519726.20447927166,803305.5208828093,9310140.643112713,5614959.4004540155,6168222.252991432,2900875.6270144708,1168418.6575075064,0.0
"Fayetteville-Springdale-Rogers, AR-MO",MO,Fayetteville-Springdale-Rogers,13.438806939451554,20.771451805775172,240.7367217654371,145.18866800484693,159.49464795725308,75.00931677260228,30.212355327415086,0.0
"Joplin, MO",MO,Joplin,616562.991906913,952979.5709783185,11044831.144781478,6661153.772010449,7317502.050645355,3441374.593636097,1386121.571442563,0.0
"Columbia, MO",MO,Columbia,790647.0223317593,1222049.4418691315,14163293.891140597,8541903.202534687,9383568.724025493,4413032.586940191,1777487.3085738858,0.0
"Kansas City, MO-KS",MO,Kansas City,7400764.49713231,11438859.399549443,132573954.78816034,79955545.4883298,87833863.03582296,41307706.184480764,16637974.46375138,0.0
"Cape Girardeau, MO-IL",MO,Cape Girardeau,492453.7202622375,761152.2929891278,8821593.67057347,5320316.00878282,5844546.551069851,2748653.006581857,1107106.221996026,0.0
"Lee's Summit, MO",MO,Lee's Summit,796684.8885480675,1231381.7618947725,14271453.501284655,8607134.421160484,9455227.417458765,4446733.213914757,1791061.2932563345,0.0
"Pascagoula, MS",MS,Pascagoula,529364.2362713614,724668.7382945801,10245356.035884747,6176793.727373243,6787828.016274963,3192272.2038238323,1285787.769753206,0.0
"Jackson, MS",MS,Jackson,4272739.320146604,5849130.711967957,82694924.56038511,49855709.21314308,54787644.642966606,25766279.682893373,10378177.415015047,0.0
"Memphis, TN-MS-AR",MS,Memphis,912754.1095341409,1249507.0947524891,17665513.05252983,10650311.207488807,11703884.569735017,5504262.232211259,2217014.279425867,0.0
"Hattiesburg, MS",MS,Hattiesburg,585775.6399000874,801892.6568973843,11337146.66898681,6835020.294661816,7511169.110651756,3532454.9049656535,1422807.023965245,0.0
"Gulfport, MS",MS,Gulfport,1972873.918868781,2700749.230191751,38183153.16329838,23020133.23151695,25297381.163110834,11897196.94177709,4791969.2762285555,0.0
"Missoula, MT",MT,Missoula,256785.1681549788,515164.3436384474,7837054.349616939,4735994.64602947,5192262.196365212,2441888.11491407,983547.0388462817,0.0
"Billings, MT",MT,Billings,401966.8387059713,806428.9075348931,12267982.548669346,7413640.007603221,8127872.944537822,3822487.307496233,1539626.672226838,0.0
"Great Falls, MT",MT,Great Falls,188459.7044686627,378089.28238526057,5751768.9095744565,3475839.970699558,3810703.7337149433,1792149.8963074856,721844.5894045094,0.0
"Charlotte, NC-SC",NC,Charlotte,7601829.798691751,5798465.538208231,182875347.66595817,110811221.94917482,121159898.3458039,56980743.879073985,22950782.04903494,0.0
"Winston-Salem, NC",NC,Winston-Salem,2770707.339142698,2113418.9330632524,66654224.225533575,40388363.59724696,44160238.84332094,20768284.667821787,8365078.138590948,0.0
"Fayetteville, NC",NC,Fayetteville,2043559.6166842398,1558770.7599895024,49161410.51218457,29788793.5204415,32570773.350340355,15317831.39106098,6169737.103927389,0.0
"Goldsboro, NC",NC,Goldsboro,416680.2822839452,317832.19583397376,10023974.951575464,6073912.790043952,6641156.403279636,3123294.4005623194,1258004.7956973414,0.0
