Storage_name,Type,SOC_max,SOC_min,Pchr_max,Pdis_max,Charge Efficiency,Discharge Efficiency,Loss Factor,Terminal Max,Terminal Min,SOC_intial
PUNKIN CENTER BATTERY STORAGE-B1,BATTERIES,1,0,2.0,2.0,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
VIRIDITY ENERGY SOLUTIONS ACUA-VACUA,BATTERIES,1,0,1.0,1.0,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
CASA MESA WIND ENERGY CENTER-CMNMB,BATTERIES,1,0,1.0,1.0,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
MCRD PARRIS ISLAND PV-TBESS,BATTERIES,1,0,4.0,4.0,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
TAC-DISTRIBUTED ENERGY RESOURCE INT.-BA,BATTERIES,1,0,0.3,0.3,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
UC MERCED SOLAR-UCMBA,BATTERIES,1,0,0.5,0.5,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
CALDWELL WASTEWATER TREATMENT PLANT-BAT1,BATTERIES,1,0,0.5,0.5,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
STATION 9 ENERGY STORAGE SYSTEM-ESS1,BATTERIES,1,0,2.0,2.0,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
I25 BATTERY STORAGE-I25BA,BATTERIES,1,0,4.0,4.0,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
MEYERSDALE WINDPOWER BATTERY-BMY,BATTERIES,1,0,18.0,18.0,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
KNOXVILLE BATTERY ENERGY STORAGE-ES1,BATTERIES,1,0,1.1,1.1,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
EAST HAMPTON ENERGY STORAGE CENTER-BEH,BATTERIES,1,0,5.0,5.0,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
MARENGO BATTERY STORAGE LLC-MBSS,BATTERIES,1,0,20.0,20.0,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
ANOKA BESS-BA,BATTERIES,1,0,6.0,6.0,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
ATHENS BESS-BA,BATTERIES,1,0,6.0,6.0,0.9746794344808963,0.9746794344808963,0.99,0.8,0.2,0.5
