puma,state,hh_total,moe_total,hh_utilgas,moe_utilgas,hh_othergas,moe_othergas,hh_elec,moe_elec,hh_fok,moe_fok,hh_coal,moe_coal,hh_wood,moe_wood,hh_solar,moe_solar,hh_other,moe_other,hh_none,moe_none
puma_1902200,IA,49781,493,26418,660,10899,386,9007,449,344,79,40,43,2395,251,9,14,504,94,165,60
puma_1902300,IA,43039,492,25461,536,7321,350,8666,543,150,74,7,10,985,160,7,12,353,98,89,47
puma_2000100,KS,47601,520,33372,712,6015,270,6264,473,108,43,13,14,1284,148,42,44,436,93,67,39
puma_2000200,KS,61198,673,39266,741,9645,356,8785,476,215,71,13,11,2173,206,11,19,969,146,121,52
puma_2000300,KS,45799,643,28663,710,4255,336,11943,621,29,23,0,24,637,154,0,24,177,87,95,58
puma_2000400,KS,42827,483,25447,503,7837,399,7169,426,158,79,0,24,1546,225,2,4,573,161,95,64
puma_2000500,KS,57356,614,43111,718,867,147,12765,693,31,24,24,36,438,131,7,8,33,28,80,51
puma_2000601,KS,42605,558,33221,707,647,148,8501,534,0,24,0,24,182,98,0,24,27,30,27,33
puma_2000602,KS,67094,590,53628,884,503,125,12720,715,13,23,0,24,66,59,0,24,115,61,49,39
puma_2000603,KS,53203,584,39603,660,746,187,12564,602,38,44,0,24,141,84,13,19,43,35,55,43
puma_2000604,KS,51768,600,37273,633,328,118,14049,532,19,25,0,24,24,28,15,26,50,42,10,15
puma_2000700,KS,43422,549,29961,761,2694,257,9973,657,45,36,0,24,578,136,19,24,109,75,43,34
puma_2000801,KS,44492,671,33310,722,327,116,10356,542,17,27,8,15,198,85,15,20,56,37,205,94
puma_2000802,KS,47469,437,27666,629,9386,365,8179,393,133,68,28,29,1755,210,0,24,304,70,18,13
puma_2000900,KS,44206,589,26080,554,7526,310,7946,433,133,55,0,24,2188,194,4,5,277,72,52,31
puma_2001000,KS,41344,457,29080,616,4106,272,6857,455,90,49,0,24,936,144,25,26,194,60,56,44
puma_2001100,KS,47688,502,32992,681,6699,348,6553,426,91,53,0,24,1037,155,0,24,264,71,52,38
puma_2001200,KS,46903,473,36241,705,3537,259,6384,528,53,53,8,10,401,109,28,35,171,64,80,47
puma_2001301,KS,58435,507,41659,645,3171,272,13019,604,24,24,0,24,340,99,7,9,168,66,47,35
puma_2001302,KS,60917,675,42550,770,2868,316,14720,633,31,34,0,24,496,97,0,24,195,104,57,43
puma_2001303,KS,49935,762,38727,797,322,92,10590,679,45,45,0,24,121,53,6,10,58,42,66,43
puma_2001304,KS,60999,837,41308,905,4149,361,14536,789,24,31,0,24,716,178,10,15,113,63,143,102
puma_2001400,KS,41105,537,19961,592,6684,349,12212,536,45,46,0,24,1831,212,4,6,316,87,52,36
puma_2001500,KS,53025,651,33454,675,5931,338,10926,556,3,4,0,24,2335,226,0,24,320,138,56,45
puma_2100100,KY,79667,1009,34154,924,12235,521,31046,1178,432,111,23,27,1486,209,0,28,212,83,79,43
puma_2100200,KY,43010,585,16084,584,4602,388,20743,637,153,78,94,78,1156,192,0,28,109,75,69,38
puma_2100300,KY,40101,642,11967,534,5235,385,21468,708,210,92,20,22,1006,179,0,28,76,51,119,112
puma_2100400,KY,67620,700,16285,677,11496,538,34453,866,551,128,45,37,4505,390,0,28,152,93,133,55
puma_2100500,KY,43801,519,19061,753,2511,296,21657,811,118,91,0,28,375,137,0,28,41,37,38,29
puma_2100600,KY,41245,670,6383,407,3696,392,26144,833,759,132,0,28,4137,373,0,28,28,29,98,47
puma_2100700,KY,40958,660,3293,377,2546,385,30283,773,1386,262,90,53,3135,332,8,13,57,45,160,90
