puma,state,htg_slope_com_btu_m2_degC
puma_1206903,FL,13.551447300634200
puma_1207101,FL,13.551447300634200
puma_1207102,FL,13.551447300634200
puma_1207103,FL,13.551447300634200
puma_1207104,FL,13.551447300634200
puma_1207105,FL,13.551447300634200
puma_1207300,FL,13.551447300634200
puma_1207301,FL,13.551447300634200
puma_1208101,FL,13.551447300634200
puma_1208102,FL,13.551447300634200
puma_1208103,FL,13.551447300634200
puma_1208301,FL,13.551447300634200
puma_1208302,FL,13.551447300634200
puma_1208303,FL,13.551447300634200
puma_1208500,FL,13.551447300634200
puma_1208601,FL,13.551447300634200
puma_1208602,FL,13.551447300634200
puma_1208603,FL,13.551447300634200
puma_1208604,FL,13.551447300634200
puma_1208605,FL,13.551447300634200
puma_1208606,FL,13.551447300634200
puma_1208607,FL,13.551447300634200
puma_1208608,FL,13.551447300634200
puma_1208609,FL,13.551447300634200
puma_1208610,FL,13.551447300634200
puma_1208611,FL,13.551447300634200
puma_1208612,FL,13.551447300634200
puma_1208613,FL,13.551447300634200
puma_1208614,FL,13.551447300634200
puma_1208615,FL,13.551447300634200
puma_1208616,FL,13.551447300634200
puma_1208617,FL,13.551447300634200
puma_1208618,FL,13.551447300634200
puma_1208619,FL,13.551447300634200
puma_1208620,FL,13.551447300634200
puma_1208621,FL,13.551447300634200
puma_1208622,FL,13.551447300634200
puma_1208623,FL,13.551447300634200
puma_1208624,FL,13.551447300634200
puma_1208700,FL,13.551447300634200
puma_1208900,FL,13.551447300634200
puma_1209100,FL,13.551447300634200
puma_1209300,FL,13.551447300634200
puma_1209501,FL,13.551447300634200
puma_1209502,FL,13.551447300634200
puma_1209503,FL,13.551447300634200
puma_1209504,FL,13.551447300634200
puma_1209505,FL,13.551447300634200
puma_1209506,FL,13.551447300634200
puma_1209507,FL,13.551447300634200
puma_1209508,FL,13.551447300634200
puma_1209509,FL,13.551447300634200
puma_1209510,FL,13.551447300634200
puma_1209701,FL,13.551447300634200
puma_1209702,FL,13.551447300634200
puma_1209901,FL,13.551447300634200
puma_1209902,FL,13.551447300634200
puma_1209903,FL,13.551447300634200
puma_1209904,FL,13.551447300634200
puma_1209905,FL,13.551447300634200
puma_1209906,FL,13.551447300634200
puma_1209907,FL,13.551447300634200
puma_1209908,FL,13.551447300634200
puma_1209909,FL,13.551447300634200
puma_1209910,FL,13.551447300634200
puma_1209911,FL,13.551447300634200
puma_1210101,FL,13.551447300634200
puma_1210102,FL,13.551447300634200
puma_1210103,FL,13.551447300634200
puma_1210104,FL,13.551447300634200
puma_1210301,FL,13.551447300634200
puma_1210302,FL,13.551447300634200
puma_1210303,FL,13.551447300634200
puma_1210304,FL,13.551447300634200
puma_1210305,FL,13.551447300634200
puma_1210306,FL,13.551447300634200
puma_1210307,FL,13.551447300634200
puma_1210308,FL,13.551447300634200
puma_1210501,FL,13.551447300634200
puma_1210502,FL,13.551447300634200
puma_1210503,FL,13.551447300634200
puma_1210504,FL,13.551447300634200
puma_1210700,FL,13.551447300634200
puma_1210900,FL,13.551447300634200
puma_1211101,FL,13.551447300634200
puma_1211102,FL,13.551447300634200
puma_1211300,FL,13.551447300634200
puma_1211501,FL,13.551447300634200
puma_1211502,FL,13.551447300634200
puma_1211503,FL,13.551447300634200
puma_1211701,FL,13.551447300634200
puma_1211702,FL,13.551447300634200
puma_1211703,FL,13.551447300634200
puma_1211704,FL,13.551447300634200
puma_1212100,FL,13.551447300634200
puma_1212701,FL,13.551447300634200
puma_1212702,FL,13.551447300634200
puma_1212703,FL,13.551447300634200
puma_1212704,FL,13.551447300634200
puma_1300100,GA,6.765709441692430
puma_1300200,GA,6.765709441692430
puma_1300300,GA,6.765709441692430
puma_1300401,GA,6.765709441692430
puma_1300402,GA,6.765709441692430
puma_1300500,GA,6.765709441692430
puma_1300600,GA,6.765709441692430
puma_1300700,GA,6.765709441692430
puma_1300800,GA,6.765709441692430
puma_1300900,GA,6.765709441692430
puma_1301001,GA,6.765709441692430
puma_1301002,GA,6.765709441692430
puma_1301003,GA,6.765709441692430
puma_1301004,GA,6.765709441692430
puma_1301005,GA,6.765709441692430
puma_1301006,GA,6.765709441692430
puma_1301007,GA,6.765709441692430
puma_1301008,GA,6.765709441692430
puma_1301100,GA,6.765709441692430
puma_1301200,GA,6.765709441692430
puma_1301300,GA,6.765709441692430
puma_1301400,GA,6.765709441692430
puma_1301500,GA,6.765709441692430
puma_1301600,GA,6.765709441692430
puma_1301700,GA,6.765709441692430
puma_1301800,GA,6.765709441692430
puma_1301900,GA,6.765709441692430
puma_1302001,GA,6.765709441692430
puma_1302002,GA,6.765709441692430
puma_1302003,GA,6.765709441692430
puma_1302004,GA,6.765709441692430
puma_1302100,GA,6.765709441692430
puma_1302200,GA,6.765709441692430
puma_1302300,GA,6.765709441692430
puma_1302400,GA,6.765709441692430
puma_1302500,GA,6.765709441692430
puma_1302600,GA,6.765709441692430
puma_1302700,GA,6.765709441692430
puma_1302800,GA,6.765709441692430
puma_1302900,GA,6.765709441692430
puma_1303001,GA,6.765709441692430
puma_1303002,GA,6.765709441692430
puma_1303003,GA,6.765709441692430
puma_1303004,GA,6.765709441692430
puma_1303005,GA,6.765709441692430
puma_1303101,GA,6.765709441692430
puma_1303102,GA,6.765709441692430
puma_1303200,GA,6.765709441692430
puma_1303300,GA,6.765709441692430
puma_1303400,GA,6.765709441692430
puma_1303500,GA,6.765709441692430
puma_1303600,GA,6.765709441692430
puma_1303700,GA,6.765709441692430
puma_1303800,GA,6.765709441692430
puma_1303900,GA,6.765709441692430
puma_1304000,GA,6.765709441692430
puma_1304001,GA,6.765709441692430
puma_1304002,GA,6.765709441692430
puma_1304003,GA,6.765709441692430
puma_1304004,GA,6.765709441692430
puma_1304005,GA,6.765709441692430
puma_1304006,GA,6.765709441692430
puma_1304100,GA,6.765709441692430
puma_1304200,GA,6.765709441692430
puma_1304300,GA,6.765709441692430
puma_1304400,GA,6.765709441692430
puma_1304500,GA,6.765709441692430
puma_1304600,GA,6.765709441692430
puma_1305001,GA,6.765709441692430
puma_1305002,GA,6.765709441692430
puma_1306001,GA,6.765709441692430
puma_1306002,GA,6.765709441692430
puma_1600100,ID,6.705263163574410
puma_1600200,ID,6.705263163574410
puma_1600300,ID,6.705263163574410
puma_1600400,ID,6.705263163574410
puma_1600500,ID,6.705263163574410
puma_1600600,ID,6.705263163574410
puma_1600701,ID,6.705263163574410
puma_1600702,ID,6.705263163574410
puma_1600800,ID,6.705263163574410
puma_1600900,ID,6.705263163574410
puma_1601000,ID,6.705263163574410
puma_1601100,ID,6.705263163574410
puma_1601200,ID,6.705263163574410
puma_1601300,ID,6.705263163574410
puma_1700104,IL,5.906971851007730
puma_1700105,IL,5.906971851007730
puma_1700202,IL,5.906971851007730
puma_1700300,IL,5.906971851007730
puma_1700401,IL,5.906971851007730
puma_1700501,IL,5.906971851007730
puma_1700600,IL,5.906971851007730
puma_1700700,IL,5.906971851007730
puma_1700800,IL,5.906971851007730
puma_1700900,IL,5.906971851007730
puma_1701001,IL,5.906971851007730
