puma,latitude,longitude
puma_0607316,33.8213418,-117.9600763
puma_0607317,33.8504566,-117.7964541
puma_0607318,33.8016239,-117.8208702
puma_0607319,33.8532905,-117.475293
puma_0607320,33.8923344,-117.573285
puma_0607321,33.9845634,-117.5074885
puma_0607322,33.5767537,-116.2939801
puma_0607501,37.6806407,-121.381561
puma_0607502,38.0137419,-121.2335789
puma_0607503,35.398831,-120.9207608
puma_0607504,35.3886244,-120.3096757
puma_0607505,38.6914403,-121.2878248
puma_0607506,38.5756735,-121.2565443
puma_0607507,38.6241504,-121.3249111
puma_0607701,37.6369947,-122.4774315
puma_0607702,37.6519882,-122.4144037
puma_0607703,37.5766504,-122.3581534
puma_0607704,37.4146639,-122.3715417
puma_0607901,37.5049222,-122.2423393
puma_0607902,37.4262069,-122.2246899
puma_0608101,34.9159372,-120.4400706
puma_0608102,38.6527,-121.3816114
puma_0608103,38.6710288,-121.538354
puma_0608104,38.6853287,-121.4310644
puma_0608105,38.5669012,-121.4579003
puma_0608106,38.5146039,-121.3822174
puma_0608301,38.4843363,-121.486433
puma_0608302,38.4204077,-121.3992906
puma_0608303,38.3418571,-121.3224531
puma_0608501,38.6695011,-121.1681744
puma_0608502,34.9013017,-116.0487741
puma_0608503,33.8910741,-118.2348463
puma_0608504,33.8984586,-118.3124434
puma_0608505,33.9176993,-118.3497524
puma_0608506,34.5985721,-117.4823747
puma_0608507,34.4530743,-117.2833951
puma_0608508,34.2669488,-117.1456748
puma_0608509,34.0603197,-117.0907951
puma_0608510,34.0445291,-117.301765
puma_0608511,34.1191976,-117.2233449
puma_0608512,34.1331572,-117.3105348
puma_0608513,34.1296951,-117.3973777
puma_0608514,34.0809449,-117.4384314
puma_0608701,34.7375034,-120.0352243
puma_0608702,33.9746147,-120.1477892
puma_0608900,37.3608411,-122.1134537
puma_0609501,37.410909,-122.0035911
puma_0609502,37.3741251,-121.9541982
puma_0609503,37.4265177,-121.8757071
puma_0609701,37.3749829,-121.8011859
puma_0609702,36.2245837,-118.7366091
puma_0609703,34.2612055,-118.7362099
puma_0609901,34.1936331,-118.8211121
puma_0609902,34.1739498,-119.1985539
puma_0609903,34.2682801,-119.22628
puma_0609904,34.5336911,-119.1213624
puma_0610100,34.0710367,-119.0163158
puma_0610701,38.6792682,-121.9031776
puma_0610702,36.1327822,-119.2433168
puma_0610703,34.0289431,-118.2981142
