puma,state,pop_2010,h_units_2010,res_area_gbs_m2,com_area_gbs_m2,ind_area_gbs_m2,hdd65_normals_2010,cdd65_normals_2010,acpen_res_2010,res_area_2010_m2,com_area_2010_m2,frac_hh_natgas,frac_hh_fok,frac_hh_othergas,frac_hh_coal,frac_hh_wood,frac_hh_solar,frac_hh_elec,frac_hh_other,frac_hh_none,frac_ff_sh_res_2010_fitting,frac_ff_dhw_res_2010_fitting,frac_ff_other_res_2010_fitting,frac_ff_sh_com_2010_fitting,frac_ff_dhw_com_2010_fitting,frac_ff_other_com_2010_fitting,frac_ff_sh_res_2010,frac_ff_dhw_res_2010,frac_ff_other_res_2010,frac_ff_sh_com_2010,frac_ff_dhw_com_2010,frac_ff_other_com_2010,frac_elec_sh_res_2010,frac_elec_dhw_res_2010,frac_elec_other_res_2010,frac_elec_sh_com_2010,frac_elec_dhw_com_2010,frac_elec_other_com_2010
puma_0102701,AL,110765,51327,6084346.848,2917441.043,270120.1391,1656,2537,0.999636726,7160671.364,4159407.497,0.606291352,0.000487522,0.01369704,0,0.001230412,0.000162507,0.374323854,0.000626814,0.003180499,0.620475914,0.620475914,0.620475914,0.622495647,0.622495647,0.622495647,0.620475914,0.620475914,0.620475914,0.622495647,0.622495647,0.622495647,0.374323854,0.374323854,0.374323854,0.374323854,0.374323854,0.374323854
puma_0102702,AL,107285,48716,6230278.406,1935593.128,176206.4096,1681.416097,2522.954262,0.99961815,7332418.3,2759582.952,0.44630624,0,0.007868913,0,0.000810035,0.000162007,0.541936678,0.000370302,0.002545825,0.454175153,0.454175153,0.454175153,0.455517497,0.455517497,0.455517497,0.454175153,0.454175153,0.454175153,0.455517497,0.455517497,0.455517497,0.541936678,0.541936678,0.541936678,0.541936678,0.541936678,0.541936678
puma_0102703,AL,194942,78153,10665293.89,2180027.15,1954801.295,1728.433083,2458.465251,0.999463922,12551990.61,3108073.526,0.290016882,0.001021436,0.02285463,0,0.006185362,0,0.675580587,0.000425598,0.003915505,0.313892948,0.313892948,0.313892948,0.320503908,0.320503908,0.320503908,0.313892948,0.313892948,0.313892948,0.320503908,0.320503908,0.320503908,0.675580587,0.675580587,0.675580587,0.675580587,0.675580587,0.675580587
puma_0400100,AZ,111283,38679,5963228.766,175136.4445,34775.74465,1462,3592,0.999991784,7172824.265,293460.3351,0.470927109,0.001343203,0.004775834,0,0,0,0.522028536,0,0.000925318,0.477046146,0.477046146,0.477046146,0.477046146,0.477046146,0.477046146,0.477046146,0.477046146,0.477046146,0.477046146,0.477046146,0.477046146,0.522028536,0.522028536,0.522028536,0.522028536,0.522028536,0.522028536
puma_0400101,AZ,146304,70771,9079459.762,628339.5832,64310.73584,1312.739084,3804.52382,0.999996223,10921158.96,1052851.936,0.318913032,0,0.011408881,0,0.000910568,0.001124819,0.664071846,0.000285668,0.003285186,0.330321913,0.330321913,0.330321913,0.332642968,0.332642968,0.332642968,0.330321913,0.330321913,0.330321913,0.332642968,0.332642968,0.332642968,0.664071846,0.664071846,0.664071846,0.664071846,0.664071846,0.664071846
puma_0400102,AZ,131113,56800,7191465.434,1011395.265,107329.4888,1291.551562,3697.998292,0.999993873,8650199.378,1694703.773,0.135022312,0,0.004853071,0,0.000925374,0.00026733,0.850891443,0.000390713,0.007649756,0.139875383,0.139875383,0.139875383,0.1414588,0.1414588,0.1414588,0.139875383,0.139875383,0.139875383,0.1414588,0.1414588,0.1414588,0.850891443,0.850891443,0.850891443,0.850891443,0.850891443,0.850891443
puma_0400103,AZ,106091,45302,4807614.174,1486253.733,192502.81,1268,3566,0.999990963,5782802.062,2490381.256,0.10690832,0.001215161,0.004291845,0,0.001964941,0.000620508,0.877915094,0,0.007084131,0.112415327,0.112415327,0.112415327,0.115000776,0.115000776,0.115000776,0.112415327,0.112415327,0.112415327,0.115000776,0.115000776,0.115000776,0.877915094,0.877915094,0.877915094,0.877915094,0.877915094,0.877915094
puma_0400104,AZ,100229,54008,5913052.47,871604.2426,45775.09317,1302.530765,3759.53289,0.999995229,7112470.09,1460468.572,0.150800415,0.000230335,0.015524588,0,0.000667972,0.000299436,0.828584591,0.000138201,0.003754463,0.166555338,0.166555338,0.166555338,0.167660947,0.167660947,0.167660947,0.166555338,0.166555338,0.166555338,0.167660947,0.167660947,0.167660947,0.828584591,0.828584591,0.828584591,0.828584591,0.828584591,0.828584591
puma_0400105,AZ,135319,48456,7322451.017,980141.1982,175449.3432,1322.764091,3702.929493,0.999994021,8807754.389,1642334.154,0.332309489,0.000173044,0.005212952,0,0.000562393,0.000454241,0.659319504,0.000281197,0.00168718,0.337695486,0.337695486,0.337695486,0.338993316,0.338993316,0.338993316,0.337695486,0.337695486,0.337695486,0.338993316,0.338993316,0.338993316,0.659319504,0.659319504,0.659319504,0.659319504,0.659319504,0.659319504
puma_0400106,AZ,114036,46293,5795501.512,936333.598,228577.4342,1297.390228,3569.938896,0.999991088,6971074.816,1568929.712,0.209734222,0.001126972,0.005047896,0,0.000469572,0,0.77775169,0,0.005869647,0.215909091,0.215909091,0.215909091,0.216378663,0.216378663,0.216378663,0.215909091,0.215909091,0.215909091,0.216378663,0.216378663,0.216378663,0.77775169,0.77775169,0.77775169,0.77775169,0.77775169,0.77775169
