"puma","state","hh_total","moe_total","hh_utilgas","moe_utilgas","hh_othergas","moe_othergas","hh_elec","moe_elec","hh_fok","moe_fok","hh_coal","moe_coal","hh_wood","moe_wood","hh_solar","moe_solar","hh_other","moe_other","hh_none","moe_none"
"puma_1300300","GA","53645","716","3182","319","1825","305","47805","777","90","58","0","31","385","131","0","31","22","28","336","124"
"puma_1300401","GA","62635","1071","18548","826","714","165","42932","982","20","19","4","6","57","48","0","31","59","53","301","97"
"puma_1300402","GA","45933","1102","12102","604","556","161","33058","1034","8","14","0","31","110","79","0","31","0","31","99","69"
"puma_1300500","GA","60313","811","2864","375","1932","290","54461","773","57","37","10","20","483","139","6","10","40","37","460","157"
"puma_1300600","GA","41282","621","3489","435","915","216","36512","835","10","16","16","23","38","37","7","11","11","17","284","107"
"puma_1300700","GA","48004","656","4008","376","2142","308","40895","761","38","24","0","31","389","115","24","26","29","38","479","124"
"puma_1300800","GA","41102","701","3008","393","1994","286","35445","830","87","53","0","31","101","63","0","31","75","45","392","135"
"puma_1300900","GA","44313","681","6406","473","1168","195","36179","806","45","40","0","31","158","88","0","31","50","42","307","114"
"puma_1301001","GA","55556","1073","30277","997","829","207","24165","1016","19","22","0","31","42","52","28","35","34","32","162","97"
"puma_1301002","GA","39712","743","29008","879","324","127","10268","532","35","43","0","31","0","31","0","31","21","34","56","49"
"puma_1301003","GA","48025","1108","25955","908","459","237","21314","1100","55","53","10","15","24","49","0","31","57","43","151","91"
"puma_1301004","GA","44063","1257","24473","1195","768","230","18533","1420","25","36","0","31","56","45","6","9","18","16","184","150"
"puma_1301005","GA","60695","1217","41507","1316","751","225","18098","898","131","93","0","31","105","127","0","31","9","25","94","70"
"puma_1301006","GA","61949","1135","26275","993","444","125","34804","1095","8","13","14","21","18","21","0","31","117","73","269","117"
"puma_1301007","GA","65009","996","28073","861","525","130","35760","964","51","45","0","31","99","66","0","31","37","36","464","133"
"puma_1301008","GA","44946","821","25853","958","421","133","18435","1053","32","39","10","16","43","49","15","22","23","29","114","107"
"puma_1301100","GA","43532","576","4109","462","2212","269","36409","657","92","55","0","31","389","106","0","31","13","11","308","100"
"puma_1301200","GA","54253","854","2730","352","2382","313","48434","983","23","22","0","31","380","141","0","31","12","17","292","116"
"puma_1301300","GA","49804","893","3197","315","3122","351","42552","959","44","35","16","25","560","140","33","28","32","30","248","95"
"puma_1301400","GA","58101","671","20999","828","916","198","35495","903","52","38","7","10","212","114","29","49","27","20","364","131"
"puma_1301500","GA","60743","867","7452","615","1148","215","51450","947","69","56","0","31","334","154","21","25","19","31","250","99"
"puma_1301600","GA","66475","912","10520","587","7271","567","47402","1020","104","88","0","31","791","181","0","31","124","91","263","115"
"puma_1301700","GA","75329","910","30820","988","1198","226","42562","1095","126","75","0","31","120","73","10","16","54","43","439","106"
"puma_1301800","GA","61114","878","5252","542","8640","532","45936","964","96","43","14","21","885","215","0","31","36","36","255","111"
"puma_1301900","GA","55406","754","15123","710","8323","608","30732","851","128","81","0","31","849","194","0","31","93","48","158","81"
"puma_1302001","GA","49436","726","34893","855","520","134","13742","755","59","65","0","31","34","55","0","31","42","38","146","85"
"puma_1302002","GA","53230","829","31462","866","518","133","20956","894","67","41","0","31","50","34","22","34","11","13","144","73"
"puma_1302003","GA","62964","1055","38669","964","415","110","23715","785","7","11","0","31","44","33","0","31","46","32","68","51"
"puma_1302004","GA","58899","930","33863","956","466","127","24383","853","67","53","8","12","37","40","0","31","12","19","63","52"
"puma_1302100","GA","52035","515","23804","761","3000","391","24253","778","71","53","0","31","639","225","0","31","100","87","168","88"
"puma_1302200","GA","37481","561","6100","482","5447","474","24964","637","91","66","6","8","697","184","0","31","7","13","169","67"
"puma_1302300","GA","41903","544","12282","660","4980","496","23771","905","62","47","0","31","590","207","0","31","73","61","145","96"
"puma_1302400","GA","40285","424","26318","588","1577","264","12052","584","44","40","0","31","143","91","0","31","17","20","134","94"
"puma_1302500","GA","61976","787","20940","814","6855","586","32661","972","204","107","0","31","1085","214","17","19","63","37","151","77"
"puma_1302600","GA","66208","944","10899","659","5403","487","47766","1064","216","105","21","22","1442","250","15","25","261","164","185","106"
"puma_1302700","GA","35629","480","2498","342","1988","266","30594","656","60","41","0","31","169","88","0","31","180","99","140","80"
"puma_1302800","GA","69228","1000","8442","496","15664","777","41836","1056","678","174","0","31","1964","295","0","31","368","154","276","102"
"puma_1302900","GA","37642","570","11040","714","2899","345","22777","801","111","77","60","76","601","180","0","31","18","25","136","76"
"puma_1303001","GA","61395","920","37978","1130","834","187","22189","895","8","13","15","25","46","35","0","31","27","31","298","137"
"puma_1303002","GA","47353","862","34986","821","424","132","11751","685","50","43","0","31","0","31","0","31","10","18","132","82"
"puma_1303003","GA","46794","787","36131","891","664","170","9595","638","129","136","0","31","147","75","0","31","39","40","89","64"
"puma_1303004","GA","71389","913","44517","1229","605","159","25737","1084","260","166","9","14","22","25","0","31","85","96","154","103"
"puma_1303005","GA","53443","648","45650","785","633","166","7038","584","9","16","0","31","29","38","11","17","25","28","48","40"
"puma_1303101","GA","43469","666","27846","1010","833","215","14591","988","28","46","0","31","113","74","0","31","6","9","52","42"
"puma_1303102","GA","44668","749","29745","778","3588","460","10613","822","46","52","0","31","541","204","0","31","97","111","38","37"
"puma_1303200","GA","53609","938","3469","374","16293","807","30157","1040","298","127","0","31","3061","379","0","31","153","113","178","89"
"puma_1303300","GA","76753","525","51758","739","3046","336","21161","787","169","65","9","14","379","128","0","31","81","59","150","65"
"puma_1303400","GA","64352","697","18867","745","2532","300","41953","1090","72","48","0","31","653","169","0","31","20","22","255","94"
"puma_1303500","GA","49735","765","7598","574","7377","505","32114","883","168","99","0","31","2203","322","0","31","56","64","219","87"
"puma_1303600","GA","48844","510","14119","576","672","188","33524","746","15","19","16","27","232","111","9","13","42","43","215","91"
"puma_1303700","GA","44509","531","9228","473","4357","427","29035","736","172","73","0","31","1464","226","24","24","30","22","199","81"
"puma_1303800","GA","49471","568","8572","498","2774","377","36930","834","64","33","29","46","737","216","6","9","35","32","324","102"
"puma_1303900","GA","43783","534","10516","606","2599","367","29622","650","32","33","0","31","753","179","0","31","78","64","183","78"
"puma_1304000","GA","71400","1155","25930","894","1226","239","43303","1300","204","124","8","12","196","88","7","12","47","59","479","126"
"puma_1304001","GA","54318","782","34692","901","634","180","18655","825","30","33","0","31","43","29","0","31","27","31","237","110"
"puma_1304002","GA","40316","867","24250","954","613","201","15173","992","80","88","0","31","85","63","0","31","19","30","96","69"
"puma_1304003","GA","52020","720","33566","1052","473","202","17823","990","17","29","0","31","0","31","0","31","0","31","141","97"
"puma_1304004","GA","37297","576","25589","998","770","263","10661","872","50","80","0","31","160","109","0","31","26","41","41","66"
"puma_1304005","GA","41821","767","30599","774","490","170","10416","662","62","44","0","31","26","41","0","31","26","33","202","116"
"puma_1304006","GA","67558","768","41222","1017","889","156","25032","1003","126","100","0","31","71","56","0","31","40","39","178","93"
"puma_1304100","GA","47215","1115","16161","806","871","217","29664","1132","51","43","0","31","321","147","0","31","20","26","127","88"
"puma_1304200","GA","47333","842","7867","572","7172","434","30819","837","221","116","0","31","928","172","0","31","133","70","193","76"
"puma_1304300","GA","68094","671","27265","974","2243","384","37805","975","63","45","0","31","432","169","0","31","56","63","230","98"
"puma_1304400","GA","49187","666","27256","947","1178","249","20124","938","131","73","0","31","322","184","0","31","11","16","165","89"
"puma_1304500","GA","53299","659","28958","1003","2901","521","20850","1012","83","82","0","31","298","109","0","31","78","91","131","68"
"puma_1304600","GA","48528","1014","22626","893","358","122","25090","946","60","50","0","31","68","90","0","31","9","17","317","100"
"puma_1305001","GA","37869","634","20372","687","318","104","16932","718","29","41","0","31","41","33","0","31","42","48","135","72"
"puma_1305002","GA","56410","819","28459","999","805","276","26635","1007","69","64","8","12","171","140","0","31","23","24","240","97"
"puma_1306001","GA","37145","795","15179","887","1157","268","20585","1087","104","90","0","31","39","47","0","31","0","31","81","73"
"puma_1306002","GA","38839","698","23846","908","1076","276","13589","933","12","21","0","31","140","77","9","14","22","25","145","95"
"puma_1600100","ID","48880","736","13443","636","3196","315","18240","766","1474","209","15","13","11403","693","24","34","739","140","346","133"
"puma_1600200","ID","59920","583","32672","1006","1311","225","21701","968","253","156","9","15","3549","432","70","82","225","109","130","62"
"puma_1600300","ID","43436","719","8531","431","4014","348","16931","678","2607","255","6","6","10348","487","25","27","773","177","201","78"
"puma_1600400","ID","45083","895","23124","759","1735","250","14551","645","863","177","32","48","3983","452","11","18","675","159","109","66"
"puma_1600500","ID","41721","576","22841","808","1463","221","13997","618","670","217","0","28","2000","313","34","32","585","180","131","75"
"puma_1600600","ID","48155","685","35839","990","810","268","10424","817","125","61","0","28","747","232","0","28","92","65","118","91"
"puma_1600701","ID","45641","769","36237","996","829","339","8054","739","50","36","0","28","339","145","17","28","0","28","115","99"
"puma_1600702","ID","43664","649","30675","803","611","156","11537","695","56","43","16","30","603","194","13","21","56","48","97","58"
"puma_1600800","ID","45811","845","28849","854","713","198","14780","818","61","43","23","34","738","207","68","54","375","134","204","109"
"puma_1600900","ID","38857","527","17230","585","1329","195","17133","812","799","181","7","11","1713","265","68","64","407","148","171","76"
"puma_1601000","ID","41460","691","14265","680","1802","270","21576","686","567","128","17","15","2653","331","32","32","447","144","101","56"
"puma_1601100","ID","42069","681","16454","666","6807","548","14436","697","768","177","66","51","3063","333","3","4","293","110","179","97"
"puma_1601200","ID","39768","463","21442","594","1196","184","15680","654","225","76","30","34","747","140","31","35","272","136","145","94"
"puma_1601300","ID","45543","601","23431","678","5653","322","13730","706","457","103","67","41","1771","194","0","28","338","124","96","56"
"puma_1700104","IL","53350","529","35014","700","8965","363","7698","501","303","71","3","5","1020","157","6","6","232","81","109","70"
"puma_1700105","IL","60546","534","49765","682","1578","206","8571","547","41","33","6","9","95","49","6","10","189","94","295","95"
"puma_1700202","IL","68968","594","44038","788","10097","396","12493","621","220","63","7","11","1278","183","69","51","419","102","347","109"
"puma_1700300","IL","44228","459","25290","589","4636","321","12881","565","113","72","9","15","778","153","30","42","239","85","252","66"
"puma_1700401","IL","54688","687","30666","700","9504","361","12409","591","149","65","16","26","1485","179","5","9","306","84","148","59"
"puma_1700501","IL","53788","705","28159","767","10392","429","12816","580","137","50","14","18","1510","213","5","5","401","104","354","94"
