"puma","state","htg_slope_res_btu_m2_degC"
"puma_0606710","CA",6.23900107258493
"puma_0606711","CA",6.30402410622758
"puma_0606712","CA",6.26061638428444
"puma_0607101","CA",6.46785861065179
"puma_0607102","CA",6.05450209401915
"puma_0607103","CA",6.0253299763435
"puma_0607104","CA",5.0207437640904
"puma_0607105","CA",6.71412316884392
"puma_0607106","CA",6.92056345502126
"puma_0607107","CA",6.99031687057336
"puma_0607108","CA",6.99031687057336
"puma_0607109","CA",6.97868868542884
"puma_0607110","CA",6.95801076320134
"puma_0607111","CA",6.90253927074333
"puma_0607112","CA",6.94120519360335
"puma_0607113","CA",6.88778464556548
"puma_0607114","CA",6.78905588246593
"puma_0607115","CA",6.91900157429748
"puma_0607301","CA",6.6435406458409
"puma_0607302","CA",6.6690558053994
"puma_0607303","CA",6.90299141563824
"puma_0607304","CA",6.76881273774568
"puma_0607305","CA",6.99185826367161
"puma_0607306","CA",7.05279632433639
"puma_0607307","CA",6.84023127801223
"puma_0607308","CA",6.88005872202616
"puma_0607309","CA",6.89318808319013
"puma_0607310","CA",6.96773500348713
"puma_0607311","CA",6.88101665276941
"puma_0607312","CA",6.87602176571601
"puma_0607313","CA",7.11326644601335
"puma_0607314","CA",7.13309757676476
"puma_0607315","CA",6.90819857568532
"puma_0607316","CA",7.133575985337
"puma_0607317","CA",7.15313560300118
"puma_0607318","CA",7.14716287306064
"puma_0607319","CA",7.17720070456006
"puma_0607320","CA",6.87123228462431
"puma_0607321","CA",7.10897560487856
"puma_0607322","CA",6.94261497700826
"puma_0607501","CA",5.88384115934989
"puma_0607502","CA",5.98433315488932
"puma_0607503","CA",5.97821060812892
"puma_0607504","CA",5.97821060812892
"puma_0607505","CA",5.70210208056376
"puma_0607506","CA",5.72747028243424
"puma_0607507","CA",5.97821060812892
"puma_0607701","CA",6.30697819728218
"puma_0607702","CA",6.24115018923644
"puma_0607703","CA",6.19061791546263
"puma_0607704","CA",6.21914945424603
"puma_0607901","CA",6.11615087016326
"puma_0607902","CA",6.04986365833463
"puma_0608101","CA",5.8085169478269
"puma_0608102","CA",6.150849830741
"puma_0608103","CA",6.13818064662074
"puma_0608104","CA",6.03645742366187
"puma_0608105","CA",6.21151634995104
"puma_0608106","CA",6.09077721392248
"puma_0608301","CA",6.0370546902189
"puma_0608302","CA",6.28802436110604
"puma_0608303","CA",6.605351598689
"puma_0608501","CA",6.22337823328046
"puma_0608502","CA",6.44558921753197
"puma_0608503","CA",6.39445502166176
"puma_0608504","CA",6.39445502166176
"puma_0608505","CA",6.29730810489684
"puma_0608506","CA",6.387984150356
"puma_0608507","CA",6.2696959498569
"puma_0608508","CA",6.2179088473395
"puma_0608509","CA",6.39445502166176
"puma_0608510","CA",6.34675277665209
"puma_0608511","CA",6.17018461059367
"puma_0608512","CA",6.05355055753693
"puma_0608513","CA",5.80486358885213
"puma_0608514","CA",6.39445502166176
"puma_0608701","CA",6.05863243672068
"puma_0608702","CA",6.24466310225796
"puma_0608900","CA",5.82401057649336
"puma_0609501","CA",5.79305894062891
"puma_0609502","CA",6.23428099796402
"puma_0609503","CA",6.21344176484358
"puma_0609701","CA",5.9878957492516
"puma_0609702","CA",6.06453229878128
"puma_0609703","CA",6.17121435113287
"puma_0609901","CA",6.45669652444385
"puma_0609902","CA",6.45168223670367
"puma_0609903","CA",6.37942691837056
"puma_0609904","CA",6.45168223670367
"puma_0610100","CA",6.26428153772001
"puma_0610701","CA",6.30894770062384
"puma_0610702","CA",6.42266287142388
"puma_0610703","CA",6.31744782512054
"puma_0611101","CA",6.78076714134369
"puma_0611102","CA",6.78408137928053
"puma_0611103","CA",6.7107197497305
"puma_0611104","CA",6.6220211727566
"puma_0611105","CA",6.66556348094734
"puma_0611106","CA",6.64224475590386
"puma_0611300","CA",6.20518466429882
"puma_0800100","CO",4.09373446203323
"puma_0800102","CO",3.95606470413133
"puma_0800103","CO",4.13726934385529
"puma_0800200","CO",3.63609516648249
"puma_0800300","CO",4.34778664669729
"puma_0800400","CO",3.17234656415492
"puma_0800600","CO",3.86300460718901
"puma_0800700","CO",4.47188022616103
"puma_0800800","CO",3.93862592617241
"puma_0800801","CO",3.63219435102801
"puma_0800802","CO",4.02064529508987
"puma_0800803","CO",4.4066673184513
"puma_0800804","CO",4.38474368241674
"puma_0800805","CO",4.42075602645665
"puma_0800806","CO",4.40938943883929
"puma_0800807","CO",4.24734562403545
"puma_0800808","CO",4.20476628963965
"puma_0800809","CO",4.21524995849597
"puma_0800810","CO",4.19267349655631
"puma_0800811","CO",4.1877329157949
