puma,state,htg_slope_com_mmbtu_m2_degC
puma_0608512,CA,1.0062757572585809e-05
puma_0608513,CA,9.278532606851036e-06
puma_0608514,CA,1.1056494925979827e-05
puma_0608701,CA,1.0097261430613665e-05
puma_0608702,CA,1.0619811742831762e-05
puma_0608900,CA,9.328834813131495e-06
puma_0609501,CA,9.380865089680221e-06
puma_0609502,CA,1.059429859787411e-05
puma_0609503,CA,1.0533553152459195e-05
puma_0609701,CA,9.897466602941125e-06
puma_0609702,CA,1.0116620813934764e-05
puma_0609703,CA,1.0413785478892182e-05
puma_0609901,CA,1.1237882231828505e-05
puma_0609902,CA,1.1224586139764171e-05
puma_0609903,CA,1.1011160529076324e-05
puma_0609904,CA,1.1224586139764171e-05
puma_0610100,CA,1.0669193160774008e-05
puma_0610701,CA,1.0808274071305041e-05
puma_0610702,CA,1.1134792453810917e-05
puma_0610703,CA,1.082876840661972e-05
puma_0611101,CA,1.22214653270398e-05
puma_0611102,CA,1.2232293782688949e-05
puma_0611103,CA,1.200242093612661e-05
puma_0611104,CA,1.1730622077308842e-05
puma_0611105,CA,1.184994558071864e-05
puma_0611106,CA,1.1792063975084968e-05
puma_0611300,CA,1.0508606386118401e-05
puma_0800100,CO,5.11417652398048e-06
puma_0800102,CO,4.860609963656404e-06
puma_0800103,CO,5.192812303170795e-06
puma_0800200,CO,4.296167198818704e-06
puma_0800300,CO,5.585807601184797e-06
puma_0800400,CO,3.5848305383401854e-06
puma_0800600,CO,4.5907742536868275e-06
puma_0800700,CO,5.832109177775852e-06
puma_0800800,CO,4.750295661881246e-06
puma_0800801,CO,4.242971563593419e-06
puma_0800802,CO,4.990805193921591e-06
puma_0800803,CO,5.707740908638319e-06
puma_0800804,CO,5.663449036536736e-06
puma_0800805,CO,5.734930348219776e-06
puma_0800806,CO,5.7120300683317175e-06
puma_0800807,CO,5.401390682822019e-06
puma_0800808,CO,5.326047549243496e-06
puma_0800809,CO,5.346085438540619e-06
puma_0800810,CO,5.304422570456693e-06
puma_0800811,CO,5.2946938850882355e-06
puma_0800812,CO,5.4104313193979985e-06
puma_0800813,CO,5.721697873069716e-06
puma_0800814,CO,5.710623422375274e-06
puma_0800815,CO,5.361199166280158e-06
puma_0800816,CO,5.589859644563907e-06
puma_0800817,CO,5.328929055360071e-06
puma_0800818,CO,5.371232115788488e-06
puma_0800819,CO,5.423382533474011e-06
puma_0800820,CO,5.374746075690946e-06
puma_0800821,CO,5.315939948222603e-06
puma_0800822,CO,5.153713557470889e-06
puma_0800823,CO,5.164223292260474e-06
puma_0800824,CO,5.342654555779592e-06
puma_0800900,CO,4.378119223266706e-06
puma_0801001,CO,5.7049325737148565e-06
puma_0801002,CO,5.018282147337473e-06
puma_0804101,CO,4.575895985041923e-06
puma_0804102,CO,3.87636924949291e-06
puma_0804103,CO,5.105212015940657e-06
puma_0804104,CO,5.130972247928106e-06
puma_0804105,CO,5.130972247928106e-06
puma_0804106,CO,4.884987086602807e-06
puma_0900100,CT,1.2421465450829599e-05
puma_0900101,CT,1.3110549243991125e-05
puma_0900102,CT,1.3319825121358258e-05
puma_0900103,CT,1.3424141702127216e-05
puma_0900104,CT,1.3086482418772235e-05
puma_0900105,CT,1.3066497747942587e-05
puma_0900300,CT,1.2472239520526424e-05
puma_0900301,CT,1.2762653241646688e-05
puma_0900302,CT,1.2762653241646688e-05
puma_0900303,CT,1.2398640661346118e-05
puma_0900304,CT,1.2190154516280638e-05
puma_0900305,CT,1.2830628127989618e-05
puma_0900306,CT,1.2776066471497695e-05
puma_0900500,CT,1.1202740606812702e-05
puma_0900700,CT,1.316495193172757e-05
puma_0900900,CT,1.2348459587493379e-05
puma_0900901,CT,1.1507837303828865e-05
puma_0900902,CT,1.2658630873176668e-05
puma_0900903,CT,1.305133415204463e-05
puma_0900904,CT,1.3453540745298988e-05
puma_0900905,CT,1.3461291544670703e-05
puma_0900906,CT,1.3407067512634325e-05
puma_0901100,CT,1.2668373092630747e-05
puma_0901101,CT,1.3104279177990831e-05
puma_0901300,CT,1.1928732116053296e-05
puma_0901500,CT,1.1692106485877244e-05
puma_1000101,DE,1.3432528707887471e-05
puma_1000102,DE,1.3591432441351033e-05
puma_1000103,DE,1.3754474529945105e-05
puma_1000104,DE,1.3396945842086834e-05
puma_1000200,DE,1.4567675072335846e-05
puma_1000300,DE,1.4584949929737214e-05
puma_1100101,DC,1.140891830151152e-05
puma_1100102,DC,1.1706687389926634e-05
puma_1100103,DC,1.1791364987527416e-05
puma_1100104,DC,1.1816005371882003e-05
puma_1100105,DC,1.1879134700604938e-05
puma_1200101,FL,6.43497881200157e-05
puma_1200102,FL,6.368952250841823e-05
puma_1200500,FL,6.200097253714873e-05
puma_1200901,FL,7.30098304061234e-05
puma_1200902,FL,7.279868243352252e-05
puma_1200903,FL,7.32004217656487e-05
puma_1200904,FL,7.32516375837557e-05
puma_1201101,FL,7.914253300419221e-05
puma_1201102,FL,7.913297129922001e-05
puma_1201103,FL,7.94005994252953e-05
puma_1201104,FL,7.9278673306834e-05
puma_1201105,FL,7.9431986890661e-05
puma_1201106,FL,7.918472125042422e-05
puma_1201107,FL,7.931558011804501e-05
puma_1201108,FL,7.972297597126048e-05
puma_1201109,FL,7.980365847508653e-05
puma_1201110,FL,7.952098254104467e-05
puma_1201111,FL,7.956895442877548e-05
puma_1201112,FL,7.988000207163526e-05
puma_1201113,FL,7.967317591071297e-05
puma_1201114,FL,7.957930045588179e-05
puma_1201500,FL,7.61849707435941e-05
puma_1201701,FL,6.805735977163897e-05
puma_1201900,FL,6.390794836222843e-05
puma_1202101,FL,7.797684262361662e-05
puma_1202102,FL,7.781468496143986e-05
puma_1202103,FL,7.646238729811455e-05
puma_1202300,FL,6.328626069018305e-05
puma_1202700,FL,7.318269577323527e-05
puma_1203101,FL,6.282091188090474e-05
puma_1203102,FL,6.440931266262733e-05
puma_1203103,FL,6.475363676839875e-05
puma_1203104,FL,6.593594320446212e-05
puma_1203105,FL,6.566669766102264e-05
puma_1203106,FL,6.606534019458936e-05
puma_1203107,FL,6.521000959886469e-05
puma_1203301,FL,6.005188980839093e-05
puma_1203302,FL,6.0391190655731076e-05
puma_1203500,FL,6.729269733527217e-05
puma_1205301,FL,6.955932972629831e-05
puma_1205701,FL,7.376246376429891e-05
puma_1205702,FL,7.376246376429891e-05
puma_1205703,FL,7.36273953620622e-05
puma_1205704,FL,7.376246376429891e-05
puma_1205705,FL,7.366188419731005e-05
puma_1205706,FL,7.333768668764351e-05
puma_1205707,FL,7.334532470833452e-05
puma_1205708,FL,7.324533822362038e-05
puma_1206100,FL,7.48880922519593e-05
puma_1206300,FL,5.992011881177995e-05
puma_1206901,FL,6.828180833647343e-05
puma_1206902,FL,7.036710790458807e-05
puma_1206903,FL,7.112850290523322e-05
puma_1207101,FL,7.75957795906186e-05
puma_1207102,FL,7.757553827501587e-05
puma_1207103,FL,7.702138378052887e-05
puma_1207104,FL,7.75871099172494e-05
puma_1207105,FL,7.720229319507447e-05
puma_1207300,FL,6.0071596539007774e-05
puma_1207301,FL,6.005419774216294e-05
puma_1208101,FL,7.419159834441516e-05
puma_1208102,FL,7.461406694359128e-05
puma_1208103,FL,7.455881108550583e-05
puma_1208301,FL,6.844587200195294e-05
puma_1208302,FL,6.989258222174923e-05
puma_1208303,FL,6.971825160130759e-05
puma_1208500,FL,7.6899015004645e-05
puma_1208601,FL,8.00326744954021e-05
puma_1208602,FL,7.978524188683765e-05
puma_1208603,FL,7.942169881340831e-05
puma_1208604,FL,7.953996896721988e-05
puma_1208605,FL,7.942169881340831e-05
puma_1208606,FL,7.982350186795888e-05
puma_1208607,FL,8.00326744954021e-05
puma_1208608,FL,7.984194396528556e-05
puma_1208609,FL,7.96490788223447e-05
puma_1208610,FL,7.977015260555901e-05
puma_1208611,FL,7.982398575828656e-05
puma_1208612,FL,7.992329697504564e-05
puma_1208613,FL,7.97834433702366e-05
puma_1208614,FL,8.037563640459981e-05
puma_1208615,FL,7.999415264250486e-05
puma_1208616,FL,8.032080531590004e-05
puma_1208617,FL,8.017014444426067e-05
puma_1208618,FL,7.953680790363331e-05
puma_1208619,FL,7.910611891158534e-05
puma_1208620,FL,7.97632090852931e-05
puma_1208621,FL,7.885007567476732e-05
puma_1208622,FL,7.815282905863238e-05
puma_1208623,FL,7.847203225508785e-05
puma_1208624,FL,7.844242260631922e-05
puma_1208700,FL,8.071209928928804e-05
puma_1208900,FL,6.29208686937454e-05
puma_1209100,FL,5.897727492660742e-05
puma_1209300,FL,7.47222465970736e-05
puma_1209501,FL,6.955817383025161e-05
puma_1209502,FL,7.275106906283139e-05
puma_1209503,FL,7.246812668643303e-05
puma_1209504,FL,7.350166148042996e-05
puma_1209505,FL,7.389643772791546e-05
puma_1209506,FL,7.389643772791546e-05
puma_1209507,FL,7.389643772791546e-05
puma_1209508,FL,7.389643772791546e-05
puma_1209509,FL,7.319647991112189e-05
puma_1209510,FL,7.367564694432686e-05
puma_1209701,FL,7.209872035494829e-05
puma_1209702,FL,7.252744692362512e-05
puma_1209901,FL,7.75056228342141e-05
puma_1209902,FL,7.729544500478417e-05
puma_1209903,FL,7.849265445715835e-05
puma_1209904,FL,7.849265445715835e-05
puma_1209905,FL,7.851643423040867e-05
puma_1209906,FL,7.87703283907374e-05
puma_1209907,FL,7.886576624494806e-05
puma_1209908,FL,7.929225516415452e-05
puma_1209909,FL,7.911295180577943e-05
puma_1209910,FL,7.869560791084161e-05
puma_1209911,FL,7.704776403894753e-05
puma_1210101,FL,7.291499836444105e-05
puma_1210102,FL,7.086175841512829e-05
