state,r2,sh_slope,dhw_const,dhw_slope,other_const
NM,0.8498577500116075,6.205852570414799e-06,9.590000000000005e-06,9.590000000000004e-08,2.6900000000000085e-06
NY,0.9860124694430461,6.304535804459491e-06,9.590000000017301e-06,9.590000000017301e-08,6.607681640837933e-06
NC,0.9433314749210486,7.903030473164155e-06,9.590000000000001e-06,9.590000000000002e-08,2.6900000000000005e-06
ND,0.9731963124361153,3.5360384826215597e-06,9.590000000000001e-06,9.590000000000002e-08,2.6900000000000005e-06
OH,0.9743425566779312,4.496883467125671e-06,9.590000000000001e-06,9.590000000000002e-08,2.6900000000000005e-06
OK,0.8457340718214913,5.7190321341596095e-06,9.590000000000001e-06,9.590000000000002e-08,2.6900000000000005e-06
OR,0.8600272060010875,5.911201100589166e-06,9.590000000000001e-06,9.590000000000002e-08,2.6900000000000005e-06
PA,0.975211487372479,5.310606583271117e-06,9.590000000000001e-06,9.590000000000002e-08,2.6900000000000005e-06
RI,0.968290662655164,6.1244267458946626e-06,9.590000000000001e-06,9.590000000000002e-08,2.6900000000000005e-06
SC,0.9638170547650237,8.554301162130891e-06,9.590000000000001e-06,9.590000000000002e-08,2.6900000000000005e-06
SD,0.9541373834488721,2.9641076484752197e-06,9.590000000000001e-06,9.590000000000002e-08,2.6900000000000005e-06
TN,0.9482114635900307,8.029363498462388e-06,9.590000000000001e-06,9.590000000000002e-08,2.6900000000000005e-06
TX,0.9209419587375367,9.616477057610364e-06,9.590000000000001e-06,9.590000000000002e-08,2.6900000000000018e-06
UT,0.9635931590413448,4.4147281669541955e-06,9.590000000000001e-06,9.590000000000002e-08,2.6900000000000005e-06
VT,0.9549178372849938,4.126804060656129e-06,9.590000000000001e-06,9.590000000000002e-08,2.6900000000000005e-06
VA,0.9661846289038044,6.150196104407817e-06,9.590000000000001e-06,9.590000000000002e-08,2.6900000000000005e-06
WA,0.8997734775883183,6.585943414993573e-06,9.590000000000001e-06,9.590000000000002e-08,2.6900000000000005e-06
WV,0.9677540104391062,5.072096576925002e-06,9.590000000000001e-06,9.590000000000002e-08,2.6900000000000005e-06
WI,0.9463809649763189,2.991765436281274e-06,9.590000000000001e-06,9.590000000000002e-08,2.6900000000000005e-06
WY,0.9392122973068198,4.115469441814521e-06,9.590000000000001e-06,9.590000000000002e-08,2.6900000000000005e-06
