bus_id,Pmax,bus_capacity,true_load
107749,0.0,1146.0,0.0
107750,0.0,1146.0,0.0
107751,0.0,939.0,4.906800548514324
107752,0.0,478.0,7.570796383964307
107753,0.0,478.0,12.550583119751233
107754,0.0,1146.0,12.524733845092188
107755,0.0,239.0,5.683799333853902
107756,0.0,478.0,11.82224179259339
107757,0.0,86.0,0.0
107758,0.0,939.0,0.0
107759,0.0,2800.0,43.989383287424666
107760,0.0,1639.0,36.05213542152917
107761,0.0,939.0,0.0
107762,0.0,478.0,0.0
107763,0.0,939.0,17.072685639516216
107765,0.0,939.0,0.0
107766,0.0,956.0,40.998470154816154
107767,0.0,478.0,0.0
107768,0.0,478.0,9.558149441574539
107769,0.0,717.0,42.59048136469979
107770,0.0,1195.0,44.513971508446495
107771,0.0,478.0,85.21745582303588
107772,0.0,478.0,21.336295412690735
107773,0.0,478.0,20.385954432578725
107774,0.0,478.0,44.513971508446495
107775,0.0,478.0,0.0
107776,0.0,478.0,0.0
107777,0.0,956.0,6.8363728745337475
107778,0.0,478.0,20.481748803374014
107779,0.0,939.0,0.0
107780,0.0,939.0,7.706124939532256
107781,0.0,1146.0,21.10821357746385
107782,0.0,3500.0,43.85861636856126
107783,0.0,1434.0,23.10621045405134
107784,4.8,478.0,0.0
107785,0.0,86.0,0.0
107786,0.0,618.0,12.261679461797183
107787,0.0,2038.0,12.261679461797183
107788,0.0,892.0,0.0
107789,0.0,892.0,5.033005830673199
107790,0.0,478.0,0.0
107791,0.0,478.0,35.08506844016719
107792,0.0,717.0,18.276957729514155
107793,0.0,478.0,39.210308566637394
107794,0.0,939.0,13.420335184749744
107795,0.0,939.0,29.734268585744534
107796,0.0,478.0,0.0
107797,0.0,478.0,18.59779284439997
107800,0.0,446.0,0.0
107801,0.0,892.0,4.7988418131736
107802,0.0,1146.0,4.9524169155597
107803,0.0,892.0,6.086743909421394
107804,0.0,86.0,0.0
107805,0.0,258.0,1.0202860762482528
107806,0.0,172.0,38.44395360027507
107807,0.0,172.0,5.577361144081358
107810,0.0,3246.0,7.6240154788505805
107811,0.0,786.0,1.8565861387468205
107816,0.0,1400.0,5.400977858172569
107817,0.0,86.0,0.0
107818,0.0,958.0,16.40668668065372
107819,0.0,86.0,0.0
107820,0.0,446.0,18.625162664627194
107821,0.0,892.0,5.565196779535924
107822,0.0,700.0,1.1951488165888624
107823,0.0,786.0,1.1099982647708264
107824,0.0,3500.0,4.687841986696518
107825,0.0,86.0,1.661956306019881
107826,0.0,1146.0,7.801919310327548
107827,0.0,478.0,10.607325883618199
