plant_id,bus_id,distance,plant_Pmax,bus_capacity,true_load
385,121863,85.70936681819983,130.0,1592.0,4.1477031549711025
386,121863,85.70936681819983,130.0,1592.0,4.1477031549711025
387,107875,79.63181541586289,120.0,2800.0,9.026454284896552
388,107722,108.80760191366286,136.0,650.0,17.161274742599833
389,153355,271.8666890292518,1138.3,3893.0,0.0
390,119993,3906.196471940262,1267.7,1793.0,3.435645870923592
391,309057,516.2983990512693,1.0,700.0,0.0
392,304398,14147.892473367836,1.4,4997.0,9.96243563282733
393,300954,60.68009751016329,31.0,2800.0,11.308432110048939
394,300954,61.26959186317767,97.2,2800.0,11.308432110048939
396,303336,109.9540997575437,117.9,1594.0,0.0
397,306589,1638.8701792874149,66.0,3188.0,0.0
399,307174,34.26594807756114,40.0,700.0,9.072222426612383
400,309781,64.10564682870351,73.8,2197.0,0.0
403,309781,84.78792599474215,117.9,2197.0,0.0
407,309850,2401.666705473985,7.0,3791.0,0.0
408,304370,12161.931601920434,12.1,12697.0,25.78157584980164
409,304518,24834.274274871703,1.4,1178.0,20.471222133323387
411,301366,62.108863384293166,73.8,1497.0,11.180312095258698
413,307764,166.8071966406423,18.4,86.0,22.747929522584442
414,303556,25.15754954234895,5.5,700.0,0.0
415,306006,57.817725740657714,49.2,4200.0,8.776957335055563
419,306006,73.55504332222597,53.1,4200.0,8.776957335055563
420,309057,2286.6213997634977,22.0,700.0,0.0
421,309850,14917.331503098416,20.0,3791.0,0.0
423,308321,64.47062772515568,102.5,2294.0,0.0
426,307319,54.80786633363323,135.0,700.0,0.0
428,308556,7346.25593251356,13.6,2800.0,51.04404474312557
431,300064,19210.764488165816,10.0,1497.0,8.85868906862865
432,300064,20567.605852446453,10.0,1497.0,8.85868906862865
433,310336,129.94676409532252,166.99999999999997,1639.0,0.0
444,303958,49.29933527513407,168.6,797.0,1.8459590636731795
448,303913,15385.605368090628,1.5,7000.0,1.8459590636731795
449,304409,68.27663855304198,48.6,3500.0,11.308432110048939
452,300617,46.72146516052832,3.4,2100.0,1.6257988083727086
453,301760,361.5423762480765,932.0,8198.0,10.921863099905972
457,301760,361.5423762480765,466.0,8198.0,10.921863099905972
459,300469,5703.968418661471,3.6,1400.0,8.475065346182008
460,308364,18421.80815551604,10.2,1400.0,17.256440612782065
461,308730,6423.76179439302,1.6,478.0,0.0
462,300064,25956.480928681845,69.2,1497.0,8.85868906862865
464,300064,15359.535461025394,80.1,1497.0,8.85868906862865
467,304331,82.41158551999627,103.4,797.0,0.0
469,307776,99.09651497690876,141.60000000000002,797.0,0.0
473,308747,53.23296820902072,79.2,797.0,0.0
475,300142,90.3659006180055,109.8,797.0,1.8459590636731795
477,304253,87.90098090144204,142.8,1497.0,0.0
479,309613,33.32128947962924,9.4,786.0,3.5115192559463075
482,306589,37.774286396702415,126.0,3188.0,0.0
484,300964,70.41772944972696,2.8,700.0,10.84970355134595
486,306859,60.93881883555995,42.0,1400.0,0.0
488,304370,32745.581871946528,6.7,12697.0,25.78157584980164
489,307047,8479.686675949353,7.0,86.0,7.455259481328657
490,307047,8527.27057935217,3.7,86.0,7.455259481328657
491,307047,8128.880714812176,6.6,86.0,7.455259481328657
492,302290,23289.37720478339,6.0,939.0,4.4834641957343395
493,302290,139.41256244292498,81.9,939.0,4.4834641957343395
506,306652,30.680562367048147,52.2,2100.0,4.194826001494257
510,308474,34119.34295988521,8.5,700.0,0.0
511,306652,5901.57201372153,13.6,2100.0,4.194826001494257
512,308556,1578.369949226296,16.4,2800.0,51.04404474312557
514,303555,36.94202828680694,12.8,2100.0,0.0
518,203339,115.54792459158928,20.0,786.0,0.0
520,203337,97.84434492586546,27.0,3500.0,0.0
522,201784,24.45481717815919,2.1,86.0,0.43811154482869635
525,203324,7601.561015273925,18.0,3193.0,0.43811154482869635
528,206358,18141.96051800928,44.8,958.0,0.0
533,308558,48.89019105823546,4.4,881.0,0.0
534,307039,257.00939081875333,1922.0,3188.0,145.7151634881003
541,307432,300.33793569484016,88.4,2294.0,0.0
545,304164,19.601247660352787,66.6,2391.0,11.308432110048939
549,307823,170.3209519071345,174.5,4588.0,0.0
554,303555,1890.6906047113705,100.0,2100.0,0.0
556,306412,18.670587293453607,75.0,1594.0,0.0
558,304164,16.403411676057726,110.0,2391.0,11.308432110048939
560,306901,10710.162010530505,7.3,3039.0,0.0
563,306901,5874.34013748611,8.399999999999999,3039.0,0.0
566,306901,2318.4682751462624,8.2,3039.0,0.0
