plant_id,bus_id,distance,plant_Pmax,bus_capacity
6822,110614,14.419344969757615,847.8000000000001,797.0
6828,305332,40376.77165571971,1080.0,478.0
6839,201906,16934.060517836744,524.1,239.0
6862,201472,325.66256022507497,1710.0,1400.000019577708
6871,310128,88.46292983610354,223.5,239.0
6874,160268,1147.6109604530775,1080.0,700.0
6906,115783,366.85224687545,3564.0,2100.0000290466055
7120,119117,11829.225834780733,90.0,86.0
7182,157939,106.39820939178836,1035.9,700.0
7381,159312,3086.559953247516,132.3,86.0
7561,152501,42.22943530248469,1296.0,1400.0
7589,130226,119.34283857083228,798.0,700.0
7658,147383,6108.021790406394,848.0,939.0
7747,151964,6088.121169778626,1437.2,258.0
7749,151964,6088.121169778626,796.8,258.0
7767,303827,3917.191487581312,223.5,86.0
7850,156539,7562.355727353552,150.0,86.0
