plant_id,bus_id,distance,plant_Pmax,bus_capacity
250,307289,457.31394935590697,245.2,5783.0
254,307289,457.31394935590697,106.2,5783.0
256,310248,43010.348290801776,184.5,3500.0
259,304284,171.5458086084983,240.6,2546.0
261,304284,171.5458086084983,97.7,2546.0
266,304284,171.5458086084983,86.7,2546.0
267,309245,230.7405991566346,85.0,2800.0
268,301595,186.75081625971603,504.5,4900.0
269,301595,186.75081625971603,54.0,4900.0
275,151897,6098.856520556079,2390.1,717.0
279,120263,120861.95445649663,1471.8,2994.0
281,308123,1140.5034379441058,390.4,872.0
284,308123,1140.5034379441058,222.9,872.0
287,308123,1140.5034379441058,0.2,872.0
289,307582,21693.32058870824,160.0,4900.0
292,307582,21693.32058870824,160.0,4900.0
295,307208,757.4569817726195,180.0,7498.0
298,307208,757.4569817726195,180.0,7498.0
299,307208,757.4569817726195,180.0,7498.0
300,307582,12776.25211420995,20.0,4900.0
301,307582,12776.25211420995,54.3,4900.0
302,307582,40363.79932960207,36.0,4900.0
303,307582,12810.727361725072,13.0,4900.0
304,310173,21.93511538683516,71.2,700.0
305,310173,21.93511538683516,71.2,700.0
306,303462,502.8130697613153,254.8,4588.0
311,303089,3733.175886282327,1312.0,700.0
319,303785,551.8429441274423,1039.4,5600.0
328,201561,551.8429441274423,1.5,2100.0
334,306616,65.5787568967117,204.0,3694.0
335,306616,65.5787568967117,204.0,3694.0
336,301499,3878.5939272601854,3.3000000000000003,2800.0
339,304723,3688.632623619754,1.0,2800.0
341,118391,305.72002710200314,540.0,9186.0
342,118391,305.72002710200314,594.0,9186.0
343,118391,305.72002710200314,369.0,9186.0
344,118391,305.72002710200314,231.3,9186.0
345,121623,199.82394627092168,56.0,1895.0
347,121639,63.72063053695011,552.5,478.0
351,108051,214.51262875320424,9.0,239.0
354,308474,34483.81764795778,1.0,700.0
357,121462,94.13074247640336,40.0,478.0
358,121462,94.13074247640336,30.0,478.0
359,121236,77.67501773228724,96.0,892.0
361,121105,198.52790364449976,7.200000000000001,786.0
366,121615,41.78275709867255,17.0,86.0
369,117298,128.27917120094966,80.4,3438.0
371,121642,79.61737424779105,75.0,1400.0
373,161407,15369.410622829357,340.0,700.0
381,117283,114.3610768964318,160.8,1338.0000936510125
385,121863,85.70936681819983,130.0,1592.0
386,121863,85.70936681819983,130.0,1592.0
387,107875,79.63181541586289,120.0,2800.0
388,107722,108.80760191366286,136.0,1878.0
389,153355,271.8666890292518,1138.3,3893.0
390,119993,3906.196471940262,1267.7,1793.0
391,309057,516.2983990512693,1.0,700.0
392,304398,14147.892473367836,1.4,4997.0
393,300954,60.68009751016329,31.0,2800.0
394,300954,61.26959186317767,97.2,2800.0
396,303336,109.9540997575437,117.9,1594.0
397,306589,1638.8701792874149,66.0,3188.0
399,307174,34.26594807756114,40.0,700.0
400,309781,64.10564682870351,73.8,2197.0
403,309781,84.78792599474215,117.9,2197.0
407,309850,2401.666705473985,7.0,3791.0
408,304370,12161.931601920434,12.1,12697.0
409,304518,24834.274274871703,1.4,1178.0
411,301366,62.108863384293166,73.8,1497.0
413,307764,166.8071966406423,18.4,86.0
414,303556,25.15754954234895,5.5,700.0
415,306006,57.817725740657714,49.2,4200.0
419,306006,73.55504332222597,53.1,4200.0
420,309057,2286.6213997634977,22.0,700.0
421,309850,14917.331503098416,20.0,3791.0
423,308321,64.47062772515568,102.5,2294.0
426,307319,54.80786633363323,135.0,700.0
428,308556,7346.25593251356,13.6,2800.0
431,300064,19210.764488165816,10.0,1497.0
432,300064,20567.605852446453,10.0,1497.0
433,310336,129.94676409532252,166.99999999999997,1639.0
444,303958,49.29933527513407,168.6,797.0
448,303913,15385.605368090628,1.5,7000.0
449,304409,68.27663855304198,48.6,3500.0
452,300617,46.72146516052832,3.4,2100.0
453,301760,361.5423762480765,932.0,8198.0
457,301760,361.5423762480765,466.0,8198.0
459,300469,5703.968418661471,3.6,1400.0
460,308364,18421.80815551604,10.2,1400.0
461,308730,6423.76179439302,1.6,478.0
462,300064,25956.480928681845,69.2,1497.0
464,300064,15359.535461025394,80.1,1497.0
467,304331,82.41158551999627,103.4,797.0
469,307776,99.09651497690876,141.60000000000002,797.0
473,308747,53.23296820902072,79.2,797.0
475,300142,90.3659006180055,109.8,797.0
477,304253,87.90098090144204,142.8,1497.0
479,309613,33.32128947962924,9.4,786.0
482,306589,37.774286396702415,126.0,3188.0
484,300964,70.41772944972696,2.8,700.0
486,306859,60.93881883555995,42.0,1400.0
488,304370,32745.581871946528,6.7,12697.0
489,307047,8479.686675949353,7.0,86.0
490,307047,8527.27057935217,3.7,86.0
491,307047,8128.880714812176,6.6,86.0
492,302290,23289.37720478339,6.0,939.0
493,302290,139.41256244292498,81.9,939.0
494,301699,2304.7320909016,1163.0,797.0
506,306652,30.680562367048147,52.2,2100.0
510,308474,34119.34295988521,8.5,700.0
511,306652,5901.57201372153,13.6,2100.0
512,308556,1578.369949226296,16.4,2800.0
514,303555,36.94202828680694,12.8,2100.0
518,203339,115.54792459158928,20.0,786.0
520,203337,97.84434492586546,27.0,3500.0
522,201784,24.45481717815919,2.1,86.0
525,203324,7601.561015273925,18.0,3193.0
526,306750,114944.82538743773,1849.8,786.0
528,206358,18141.96051800928,44.8,958.0
533,308558,48.89019105823546,4.4,881.0
534,307039,257.00939081875333,1922.0,3188.0
541,307432,300.33793569484016,88.4,2294.0
545,304164,19.601247660352787,66.6,2391.0
549,307823,170.3209519071345,174.5,4588.0
