"state","id","lat","lon","a.land.m2","pop.2010","h.units.2010","res.area.m2","com.area.m2","ind.area.m2","res.area.natgas.m2","res.area.fok.m2","res.area.othergas.m2","res.area.elec.m2","res.area.other.m2","frac.natgas.res","frac.fok.res","frac.othergas.res","frac.elec.res","frac.other.res","frac.natgas.com","frac.fok.com","frac.othergas.com","frac.elec.com","frac.other.com","hdd65","cdd65","acpen","frac.ff.res","frac.ff.com","acpen.res","acpen.com","t.min","t.max","tadj.rcp26","tadj.rcp45","nerc.subregion","hd_183C_10yr","hd_167C_10yr","hd_183C_2010","hd_167C_2010","res.area.adj.m2","htg.slope.res.btu.m2.degC.adj"
"WI",55079002200,43.1146829,-87.9336589,1144138,1790,748,95211.30810779,68122.8241858727,137.96101532903,73332.9649681276,10398.9655663827,1620.61801034536,8778.34755603738,1080.41200689691,0.770212765957447,0.109219858156028,0.0170212765957447,0.0921985815602837,0.0113475177304965,0.780150995195608,0.110629146648364,0.0170212765957447,0.0921985815602837,0,6779,776,0.876415151379583,0.89645390070922,0.907801418439717,0.876415151379583,1,-26,38.3,1.00052830188679,1.4762676056338,17,929396.590476191,826033.521428571,87529.8738095238,77236.2047619048,159474.456096425,3.12344052385984
"WI",55079002300,43.1060062,-87.9362434,1841198,4406,1865,217888.005228021,32257.6085881377,5948.76746378321,167786.074082369,12433.157360469,3200.61476606133,34468.159019122,0,0.770056497175141,0.0570621468926554,0.0146892655367232,0.15819209039548,0,0.770056497175141,0.0570621468926554,0.0146892655367232,0.15819209039548,0,6779,776,0.876415151379583,0.84180790960452,0.84180790960452,0.876415151379583,1,-26,38.3,1.00052830188679,1.4762676056338,17,929396.590476191,826033.521428571,87529.8738095238,77236.2047619048,364952.145015542,3.12344052385984
"WI",55079002400,43.1064059,-87.9518857,1159937,2244,976,104392.267706505,39925.9171409351,59804.2880597266,91776.4690859314,0,0,12615.7986205737,0,0.879150066401062,0,0,0.120849933598938,0,0.879150066401062,0,0,0.120849933598938,0,6779,776,0.876415151379583,0.879150066401062,0.879150066401062,0.876415151379583,1,-26,38.3,1.00052830188679,1.4762676056338,17,936512.671428571,832868.69047619,92348.5607142857,82153.4392857143,174852.130949823,3.12344052385984
"WI",55079002500,43.1079573,-87.9621804,552564,2195,928,99835.1872533036,12619.2987373004,92.90304,83092.6403226253,0,3472.52825228882,13270.0186783894,0,0.832298136645963,0,0.0347826086956522,0.132919254658385,0,0.832298136645963,0,0.0347826086956522,0.132919254658385,0,6779,776,0.876415151379583,0.867080745341615,0.867080745341615,0.876415151379583,1,-26,38.3,1.00052830188679,1.4762676056338,17,936512.671428571,832868.69047619,92348.5607142857,82153.4392857143,167219.23585464,3.12344052385984
"WI",55079002600,43.1006742,-87.9619284,698838,2829,1180,145537.909065845,22705.2248057176,206.987966616787,128642.740463137,2128.52517829389,1197.29541279031,13569.3480116236,0,0.883912248628885,0.0146252285191956,0.00822669104204753,0.093235831809872,0,0.883912248628885,0.0146252285191956,0.00822669104204753,0.093235831809872,0,6779,776,0.876415151379583,0.906764168190128,0.906764168190128,0.876415151379583,1,-26,38.3,1.00052830188679,1.4762676056338,17,936512.671428571,832868.69047619,92348.5607142857,82153.4392857143,243769.142037317,3.12344052385984
"WI",55079002700,43.1008252,-87.9717669,686386,1995,817,92313.2924283233,3042.57451633557,194.538963901939,75163.6531963561,2679.63112999487,1473.79712149718,12996.2109804751,0,0.81422351233672,0.0290275761973875,0.0159651669085631,0.140783744557329,0,0.81422351233672,0.0290275761973875,0.0159651669085631,0.140783744557329,0,6779,776,0.876415151379583,0.859216255442671,0.859216255442671,0.876415151379583,1,-26,38.3,1.00052830188679,1.4762676056338,17,936512.671428571,832868.69047619,92348.5607142857,82153.4392857143,154620.416346035,3.12344052385984
"WI",55079002800,43.1083062,-87.9714196,657400,2252,903,105594.156133588,8661.81489723879,94.4823879638784,94416.6925328968,1314.99571772837,0,8810.47130878006,0,0.89414694894147,0.012453300124533,0,0.0834371108343711,0,0.89414694894147,0.012453300124533,0,0.0834371108343711,0,6779,776,0.876415151379583,0.906600249066003,0.906600249066003,0.876415151379583,1,-26,38.3,1.00052830188679,1.4762676056338,17,936512.671428571,832868.69047619,92348.5607142857,82153.4392857143,176865.237449533,3.12344052385984
"WI",55079002900,43.1083411,-87.981319,656561,2179,811,101426.148976974,10159.5977118349,0,73943.91399968,14424.3774742702,0,13057.8575030236,0,0.729041916167665,0.142215568862275,0,0.12874251497006,0,0.729041916167665,0.142215568862275,0,0.12874251497006,0,6779,776,0.876415151379583,0.87125748502994,0.87125748502994,0.876415151379583,1,-26,38.3,1.00052830188679,1.4762676056338,17,936512.671428571,832868.69047619,92348.5607142857,82153.4392857143,169884.021798609,3.12344052385984
"WI",55079003000,43.1085105,-87.9961907,1312366,3782,1450,181852.405046153,26474.4861112574,206.987966616787,161361.993209967,14558.9768309744,0,5931.43500521181,0,0.887323943661972,0.0800593031875463,0,0.0326167531504818,0,0.887323943661972,0.0800593031875463,0,0.0326167531504818,0,6779,776,0.876415151379583,0.967383246849518,0.967383246849518,0.876415151379583,1,-26,38.3,1.00052830188679,1.4762676056338,17,936512.671428571,832868.69047619,92348.5607142857,82153.4392857143,304594.212188849,3.12344052385984
"WI",55079003100,43.1009177,-87.9860702,1253593,3572,1363,169961.095368278,28058.5764046446,475.663576877395,150328.625606266,5048.34936737459,1542.55119558668,13041.569199051,0,0.884488448844885,0.0297029702970297,0.00907590759075908,0.0767326732673267,0,0.884488448844885,0.0297029702970297,0.00907590759075908,0.0767326732673267,0,6779,776,0.876415151379583,0.923267326732674,0.923267326732674,0.876415151379583,1,-26,38.3,1.00052830188679,1.4762676056338,17,936512.671428571,832868.69047619,92348.5607142857,82153.4392857143,284676.828625476,3.12344052385984
